call_id,customer_id,call_datetime,duration_seconds,reason,agent_id,status,satisfaction_score,notes
CALL00001,CUST00116,2022-04-29 21:32:00,1279,tariff_info,AGT131,transferred,2,Customer called regarding move out
CALL00002,CUST00020,2025-04-16 06:15:00,1762,complaint,AGT116,callback_required,4,Customer called regarding technical issue
CALL00003,CUST00104,2022-09-24 20:46:00,482,contract_change,AGT103,callback_required,,Customer called regarding contract change
CALL00004,CUST00124,2022-07-31 09:48:00,213,tariff_info,AGT123,resolved,1,Customer called regarding tariff info
CALL00005,CUST00028,2024-05-16 11:03:00,1656,payment_question,AGT110,transferred,,Customer called regarding payment question
CALL00006,CUST00142,2024-04-07 13:02:00,827,contract_change,AGT106,resolved,1,Customer called regarding technical issue
CALL00007,CUST00150,2023-01-02 11:01:00,429,move_out,AGT136,completed,,Customer called regarding payment question
CALL00008,CUST00048,2025-10-21 18:17:00,1074,meter_reading,AGT103,resolved,1,Customer called regarding tariff info
CALL00009,CUST00119,2022-02-09 12:51:00,224,move_out,AGT112,resolved,1,Customer called regarding move in
CALL00010,CUST00176,2022-01-23 07:18:00,1254,technical_issue,AGT113,callback_required,4,Customer called regarding contract change
CALL00011,CUST00065,2023-07-27 18:36:00,518,meter_reading,AGT128,callback_required,4,Customer called regarding move out
CALL00012,CUST00062,2025-02-11 06:34:00,515,general_info,AGT102,resolved,3,Customer called regarding payment question
CALL00013,CUST00016,2022-11-17 17:39:00,1552,general_info,AGT135,transferred,,Customer called regarding general info
CALL00014,CUST00057,2025-05-23 13:08:00,1006,contract_change,AGT148,resolved,,Customer called regarding meter reading
CALL00015,CUST00041,2025-03-18 09:52:00,853,technical_issue,AGT122,completed,,Customer called regarding general info
CALL00016,CUST00110,2022-05-02 10:53:00,941,move_out,AGT128,resolved,2,Customer called regarding tariff info
CALL00017,CUST00043,2025-02-06 15:22:00,480,general_info,AGT131,transferred,5,Customer called regarding move in
CALL00018,CUST00006,2024-07-16 06:32:00,1178,move_out,AGT119,completed,4,Customer called regarding move in
CALL00019,CUST00193,2024-04-25 06:10:00,151,complaint,AGT100,completed,2,Customer called regarding general info
CALL00020,CUST00012,2022-12-06 11:49:00,219,move_in,AGT149,transferred,2,Customer called regarding general info
CALL00021,CUST00009,2023-07-27 14:34:00,1232,billing_inquiry,AGT137,callback_required,,Customer called regarding contract change
CALL00022,CUST00090,2023-01-30 13:13:00,414,billing_inquiry,AGT110,callback_required,1,Customer called regarding contract change
CALL00023,CUST00096,2025-08-28 16:22:00,181,meter_reading,AGT139,callback_required,3,Customer called regarding move in
CALL00024,CUST00184,2025-10-30 07:14:00,889,general_info,AGT132,transferred,2,Customer called regarding general info
CALL00025,CUST00050,2023-05-18 12:56:00,392,payment_question,AGT115,resolved,5,Customer called regarding move out
CALL00026,CUST00034,2022-01-15 06:22:00,1215,complaint,AGT141,callback_required,,Customer called regarding payment question
CALL00027,CUST00193,2023-07-08 08:10:00,1247,billing_inquiry,AGT128,transferred,4,Customer called regarding move in
CALL00028,CUST00157,2025-05-16 10:03:00,301,contract_change,AGT115,resolved,1,Customer called regarding tariff info
CALL00029,CUST00118,2023-09-25 17:17:00,387,meter_reading,AGT100,resolved,,Customer called regarding payment question
CALL00030,CUST00165,2022-07-10 12:57:00,977,move_in,AGT139,completed,2,Customer called regarding move out
CALL00031,CUST00115,2022-06-05 13:06:00,1046,move_in,AGT114,resolved,,Customer called regarding move out
CALL00032,CUST00071,2024-08-27 16:09:00,1427,complaint,AGT140,resolved,,Customer called regarding meter reading
CALL00033,CUST00037,2025-12-07 06:56:00,1331,move_out,AGT107,resolved,2,Customer called regarding billing inquiry
CALL00034,CUST00002,2025-03-15 11:42:00,1579,complaint,AGT117,transferred,3,Customer called regarding billing inquiry
CALL00035,CUST00049,2022-12-07 09:04:00,784,technical_issue,AGT121,transferred,,Customer called regarding meter reading
CALL00036,CUST00070,2023-03-06 10:06:00,1251,meter_reading,AGT119,callback_required,1,Customer called regarding complaint
CALL00037,CUST00114,2024-09-20 20:40:00,346,payment_question,AGT129,callback_required,3,Customer called regarding contract change
CALL00038,CUST00040,2022-07-11 22:34:00,543,payment_question,AGT140,transferred,5,Customer called regarding meter reading
CALL00039,CUST00152,2023-01-05 06:19:00,1640,complaint,AGT130,resolved,,Customer called regarding tariff info
CALL00040,CUST00163,2024-02-22 12:13:00,540,contract_change,AGT137,resolved,3,Customer called regarding general info
CALL00041,CUST00015,2022-12-06 16:29:00,1527,complaint,AGT142,transferred,3,Customer called regarding billing inquiry
CALL00042,CUST00134,2023-11-15 22:50:00,1666,move_in,AGT147,callback_required,5,Customer called regarding contract change
CALL00043,CUST00199,2023-10-19 19:45:00,1685,tariff_info,AGT108,resolved,1,Customer called regarding complaint
CALL00044,CUST00069,2024-03-25 21:08:00,1408,general_info,AGT149,callback_required,2,Customer called regarding move in
CALL00045,CUST00189,2024-02-04 08:50:00,1259,move_out,AGT110,callback_required,,Customer called regarding move in
CALL00046,CUST00003,2022-08-06 11:22:00,1553,move_out,AGT110,transferred,5,Customer called regarding move out
CALL00047,CUST00049,2025-04-21 14:56:00,429,billing_inquiry,AGT105,callback_required,2,Customer called regarding payment question
CALL00048,CUST00023,2023-08-12 11:38:00,83,billing_inquiry,AGT138,resolved,4,Customer called regarding billing inquiry
CALL00049,CUST00035,2024-04-19 18:00:00,597,move_in,AGT103,transferred,2,Customer called regarding meter reading
CALL00050,CUST00123,2023-08-07 07:01:00,1528,technical_issue,AGT139,completed,,Customer called regarding meter reading
CALL00051,CUST00148,2023-03-26 13:23:00,1622,technical_issue,AGT134,callback_required,,Customer called regarding payment question
CALL00052,CUST00119,2022-07-11 08:37:00,515,move_out,AGT100,completed,1,Customer called regarding complaint
CALL00053,CUST00037,2024-08-02 21:42:00,136,move_in,AGT125,transferred,4,Customer called regarding billing inquiry
CALL00054,CUST00122,2024-06-11 10:25:00,636,technical_issue,AGT145,transferred,,Customer called regarding general info
CALL00055,CUST00084,2023-04-13 20:11:00,469,payment_question,AGT127,completed,4,Customer called regarding contract change
CALL00056,CUST00058,2025-10-10 09:13:00,465,move_out,AGT107,completed,5,Customer called regarding payment question
