meter_id,contract_id,meter_serial,meter_type,energy_type,installation_date,last_inspection_date,location,status
MTR000001,CON00164,SN18647316,prepaid,electricity,2017-04-13,2024-04-24,basement,faulty
MTR000002,CON00083,SN44419684,prepaid,electricity,2021-09-28,2023-04-29,garage,inactive
MTR000003,CON00059,SN35758531,smart_meter,electricity,2017-10-02,2023-09-28,garage,replaced
MTR000004,CON00287,SN66642448,rotary,gas,2015-06-01,2023-02-18,outdoor,faulty
MTR000005,CON00070,SN44681437,traditional,electricity,2022-05-21,2025-02-01,outdoor,active
MTR000006,CON00249,SN12672106,smart_meter,gas,2024-08-21,2022-06-21,basement,faulty
MTR000007,CON00033,SN58779318,rotary,gas,2022-05-16,2022-07-04,garage,inactive
MTR000008,CON00121,SN86634749,prepaid,electricity,2020-08-11,2022-09-05,basement,replaced
MTR000009,CON00047,SN90506654,smart_meter,electricity,2023-09-02,2023-10-04,basement,replaced
MTR000010,CON00121,SN39260590,smart_meter,gas,2016-03-13,2022-12-25,outdoor,faulty
MTR000011,CON00226,SN64811239,traditional,electricity,2024-09-04,2025-04-22,indoor,replaced
MTR000012,CON00274,SN60292051,rotary,gas,2016-04-07,2023-10-11,garage,replaced
MTR000013,CON00127,SN29449696,diaphragm,gas,2020-04-30,2024-01-24,basement,active
MTR000014,CON00018,SN98882124,smart_meter,gas,2022-09-30,2025-10-07,outdoor,faulty
MTR000015,CON00283,SN61632246,diaphragm,gas,2022-03-02,2025-12-05,basement,active
MTR000016,CON00274,SN41726640,diaphragm,gas,2019-05-11,2022-01-17,garage,faulty
MTR000017,CON00155,SN41602967,traditional,electricity,2017-05-11,2022-11-25,garage,faulty
MTR000018,CON00209,SN14547522,traditional,electricity,2024-09-18,2022-06-14,garage,replaced
MTR000019,CON00212,SN54657219,rotary,gas,2019-09-27,2022-07-25,outdoor,faulty
MTR000020,CON00260,SN18907659,diaphragm,gas,2019-09-20,2025-05-18,basement,replaced
MTR000021,CON00015,SN16992585,rotary,gas,2022-03-12,2023-01-12,garage,inactive
MTR000022,CON00002,SN63775923,smart_meter,gas,2022-01-17,2023-09-18,basement,active
MTR000023,CON00057,SN31182569,smart_meter,gas,2020-10-16,2025-08-22,outdoor,replaced
MTR000024,CON00164,SN70597948,traditional,electricity,2024-10-17,2022-10-01,basement,inactive
MTR000025,CON00168,SN47822197,smart_meter,electricity,2015-12-12,2024-04-28,basement,inactive
MTR000026,CON00202,SN86556525,smart_meter,gas,2015-03-26,2022-02-17,outdoor,active
MTR000027,CON00237,SN36610839,traditional,electricity,2022-11-12,2022-12-12,indoor,replaced
MTR000028,CON00220,SN30032157,smart_meter,gas,2019-02-16,2022-12-15,indoor,active
MTR000029,CON00270,SN70895638,rotary,gas,2020-07-17,2022-08-31,outdoor,inactive
MTR000030,CON00098,SN48649601,rotary,gas,2020-07-17,2024-02-22,outdoor,replaced
MTR000031,CON00106,SN90541748,smart_meter,electricity,2024-03-29,2023-08-03,outdoor,replaced
MTR000032,CON00093,SN29588118,smart_meter,gas,2018-04-03,2023-06-21,outdoor,replaced
MTR000033,CON00128,SN59611937,prepaid,electricity,2022-09-03,2025-08-18,garage,active
MTR000034,CON00006,SN72932224,smart_meter,gas,2024-10-09,2023-10-25,garage,inactive
MTR000035,CON00197,SN90154282,diaphragm,gas,2015-10-27,2022-07-15,indoor,active
MTR000036,CON00171,SN73207479,traditional,electricity,2021-10-19,2025-10-05,indoor,active
MTR000037,CON00130,SN77718480,rotary,gas,2019-04-10,2023-09-12,garage,faulty
