reading_id,meter_id,reading_date,reading_value,unit,reading_type,reported_by,validated
RDG000001,MTR000069,2022-04-16,1388.65,m3,smart_auto,customer,true
RDG000002,MTR000274,2025-08-21,1831.15,kWh,estimated,smart_meter,false
RDG000003,MTR000189,2025-12-15,4935.97,kWh,smart_auto,technician,false
RDG000004,MTR000069,2025-06-06,2071.3,m3,estimated,technician,true
RDG000005,MTR000321,2023-12-30,4088.81,m3,actual,smart_meter,true
RDG000006,MTR000091,2022-02-02,1317.14,m3,smart_auto,smart_meter,false
RDG000007,MTR000055,2025-11-10,10866.77,kWh,estimated,smart_meter,true
RDG000008,MTR000321,2025-02-02,3189.81,m3,actual,technician,true
RDG000009,MTR000167,2025-04-06,1380.53,m3,smart_auto,technician,true
RDG000010,MTR000229,2024-06-07,3552.67,kWh,estimated,customer,true
RDG000011,MTR000048,2024-07-29,7489.82,kWh,actual,customer,true
RDG000012,MTR000292,2023-01-05,7408.72,kWh,smart_auto,technician,true
RDG000013,MTR000159,2022-12-30,856.45,m3,estimated,smart_meter,false
RDG000014,MTR000097,2022-05-28,1134.87,kWh,estimated,customer,true
RDG000015,MTR000331,2022-07-25,4853.41,m3,smart_auto,smart_meter,true
RDG000016,MTR000373,2022-01-25,3764.7,m3,smart_auto,customer,true
RDG000017,MTR000197,2022-01-28,408.67,kWh,smart_auto,customer,true
RDG000018,MTR000128,2023-07-03,11574.75,kWh,actual,smart_meter,false
RDG000019,MTR000007,2022-01-20,3972.38,m3,actual,smart_meter,false
RDG000020,MTR000174,2022-06-24,4270.97,m3,actual,customer,true
RDG000021,MTR000389,2024-06-28,2836.11,m3,actual,technician,true
RDG000022,MTR000246,2022-04-25,814.84,m3,smart_auto,smart_meter,true
RDG000023,MTR000322,2022-02-13,2740.88,m3,actual,customer,false
RDG000024,MTR000152,2024-04-30,557.7,m3,actual,customer,true
RDG000025,MTR000013,2024-02-29,1172.04,m3,actual,technician,false
RDG000026,MTR000147,2025-11-02,3465.68,kWh,estimated,smart_meter,false
RDG000027,MTR000058,2022-08-14,7428.13,kWh,actual,customer,true
RDG000028,MTR000183,2023-11-15,427.64,m3,actual,technician,true
RDG000029,MTR000023,2022-12-31,3042.31,m3,estimated,smart_meter,true
RDG000030,MTR000308,2024-05-20,947.76,m3,actual,smart_meter,false
RDG000031,MTR000155,2023-08-11,3142.55,m3,estimated,customer,true
RDG000032,MTR000256,2023-06-28,9959.8,kWh,smart_auto,customer,true
RDG000033,MTR000077,2022-10-28,11688.98,kWh,estimated,customer,true
RDG000034,MTR000229,2024-09-06,10848.02,kWh,actual,customer,false
RDG000035,MTR000219,2023-07-25,14397.82,kWh,actual,customer,true
RDG000036,MTR000066,2024-02-28,950.27,m3,estimated,technician,true
RDG000037,MTR000218,2024-04-27,7271.2,kWh,smart_auto,smart_meter,true
RDG000038,MTR000071,2025-09-01,12051.9,kWh,actual,technician,true
