drug_id,drug_name,generic_name,manufacturer,drug_class,route_of_administration
DRG001,Escitalopram,escitalopram,Bristol-Myers Squibb,SSRI,topical
DRG002,Escitalopram SR,escitalopram,Bristol-Myers Squibb,SSRI,intramuscular
DRG003,Methotrexate,methotrexate,Bristol-Myers Squibb,DMARD,inhaled
DRG004,Losartan,losartan,AstraZeneca,ARB,topical
DRG005,Lisinopril,lisinopril,Roche,ACE inhibitor,oral
DRG006,Sertraline,sertraline,Roche,SSRI,inhaled
DRG007,Losartan XR,losartan,Eli Lilly,ARB,subcutaneous
DRG008,Ciprofloxacin,ciprofloxacin,AbbVie,Fluoroquinolone,IV
DRG009,Amlodipine,amlodipine,AstraZeneca,Calcium channel blocker,IV
DRG010,Tramadol,tramadol,Eli Lilly,Opioid analgesic,intramuscular
DRG011,Gabapentin,gabapentin,AbbVie,Anticonvulsant,oral
DRG012,Omeprazole,omeprazole,Johnson & Johnson,PPI,topical
DRG013,Lisinopril XR,lisinopril,Pfizer,ACE inhibitor,oral
DRG014,Prednisone,prednisone,Roche,Corticosteroid,oral
DRG015,Duloxetine,duloxetine,Bristol-Myers Squibb,SNRI,topical
DRG016,Omeprazole SR,omeprazole,Merck,PPI,subcutaneous
DRG017,Metoprolol,metoprolol,Novartis,Beta blocker,oral
DRG018,Amitriptyline,amitriptyline,Roche,TCA,intramuscular
DRG019,Azithromycin,azithromycin,AbbVie,Macrolide,oral
DRG020,Gabapentin ER,gabapentin,Merck,Anticonvulsant,oral
DRG021,Gabapentin SR,gabapentin,AbbVie,Anticonvulsant,topical
DRG022,Ibuprofen,ibuprofen,Johnson & Johnson,NSAID,intramuscular
DRG023,Fluoxetine,fluoxetine,Eli Lilly,SSRI,topical
DRG024,Omeprazole XR,omeprazole,AbbVie,PPI,inhaled
DRG025,Escitalopram ER,escitalopram,AstraZeneca,SSRI,intramuscular
DRG026,Albuterol,albuterol,Roche,Bronchodilator,IV
DRG027,Metoprolol SR,metoprolol,Johnson & Johnson,Beta blocker,subcutaneous
DRG028,Azithromycin XR,azithromycin,AstraZeneca,Macrolide,inhaled
DRG029,Pantoprazole,pantoprazole,Johnson & Johnson,PPI,oral
DRG030,Hydrochlorothiazide,hydrochlorothiazide,Johnson & Johnson,Diuretic,IV
