plan_id,plan_name,provider,plan_type,coverage_level,monthly_premium
INS01,Blue Cross Plan 1,Blue Cross,EPO,standard,412.15
INS02,Aetna Plan 2,Aetna,Medicaid,premium,549.8
INS03,UnitedHealthcare Plan 3,UnitedHealthcare,PPO,basic,369.39
INS04,Cigna Plan 4,Cigna,Medicare,premium,253.12
INS05,Humana Plan 5,Humana,Commercial,standard,742.54
INS06,Kaiser Plan 6,Kaiser,EPO,premium,443.98
INS07,Anthem Plan 7,Anthem,PPO,basic,772.89
INS08,Molina Plan 8,Molina,PPO,standard,679.95
INS09,Centene Plan 9,Centene,Commercial,standard,357.19
INS10,WellCare Plan 10,WellCare,Medicaid,premium,483.79
