site_id,trial_id,hospital_id,principal_investigator,status,enrollment_target
SIT001,TRL0009,HSP004,PHY047,suspended,48
SIT002,TRL0020,HSP004,PHY030,active,18
SIT003,TRL0010,HSP001,PHY026,closed,49
SIT004,TRL0013,HSP013,PHY022,suspended,31
SIT005,TRL0014,HSP014,PHY042,recruiting,29
SIT006,TRL0011,HSP010,PHY045,recruiting,40
SIT007,TRL0011,HSP003,PHY026,closed,28
SIT008,TRL0016,HSP010,PHY016,closed,34
SIT009,TRL0009,HSP014,PHY026,closed,17
SIT010,TRL0019,HSP004,PHY038,recruiting,45
SIT011,TRL0001,HSP012,PHY030,recruiting,38
SIT012,TRL0010,HSP014,PHY045,active,36
SIT013,TRL0016,HSP003,PHY041,closed,25
SIT014,TRL0009,HSP011,PHY010,suspended,34
SIT015,TRL0003,HSP008,PHY039,suspended,47
SIT016,TRL0013,HSP009,PHY033,suspended,44
SIT017,TRL0002,HSP013,PHY024,active,16
SIT018,TRL0008,HSP011,PHY043,closed,20
SIT019,TRL0020,HSP001,PHY037,suspended,31
SIT020,TRL0014,HSP002,PHY001,active,26
SIT021,TRL0008,HSP009,PHY048,recruiting,38
SIT022,TRL0012,HSP007,PHY030,recruiting,32
SIT023,TRL0001,HSP008,PHY007,closed,36
SIT024,TRL0003,HSP002,PHY047,recruiting,32
SIT025,TRL0010,HSP006,PHY030,recruiting,43
SIT026,TRL0016,HSP006,PHY031,active,38
SIT027,TRL0015,HSP006,PHY005,closed,12
SIT028,TRL0004,HSP001,PHY022,active,20
SIT029,TRL0008,HSP009,PHY012,recruiting,31
SIT030,TRL0018,HSP007,PHY030,recruiting,35
SIT031,TRL0006,HSP003,PHY041,suspended,35
SIT032,TRL0001,HSP012,PHY040,recruiting,38
SIT033,TRL0019,HSP007,PHY025,active,23
SIT034,TRL0007,HSP005,PHY049,active,46
SIT035,TRL0004,HSP013,PHY035,recruiting,33
SIT036,TRL0011,HSP004,PHY030,active,26
SIT037,TRL0016,HSP009,PHY041,closed,48
SIT038,TRL0013,HSP010,PHY026,active,32
SIT039,TRL0012,HSP014,PHY030,recruiting,29
SIT040,TRL0020,HSP010,PHY006,recruiting,30
