event_id,shipment_id,event_datetime,event_type,location,description
EVT000001,SHP000409,2025-12-21 06:15:00,departure,"Los Angeles, USA",Exception at Los Angeles
EVT000002,SHP000196,2024-02-03 23:42:00,delay,"Sydney, Australia",Delivery at Sydney
EVT000003,SHP000373,2025-04-16 11:41:00,arrival,"Chicago, USA",Departure at Chicago
EVT000004,SHP000403,2025-08-21 03:34:00,exception,"Los Angeles, USA",Customs Clearance at Los Angeles
EVT000005,SHP000308,2025-04-24 01:12:00,departure,"Toronto, Canada",Arrival at Toronto
EVT000006,SHP000565,2025-02-26 16:27:00,departure,"Hamburg, Germany",Customs Clearance at Hamburg
EVT000007,SHP000025,2025-03-01 18:42:00,departure,"Tokyo, Japan",Arrival at Tokyo
EVT000008,SHP000577,2025-04-03 18:50:00,delay,"Los Angeles, USA",Departure at Los Angeles
EVT000009,SHP000155,2024-10-10 14:15:00,delay,"Valencia, Spain",Exception at Valencia
EVT000010,SHP000134,2024-10-09 19:59:00,delay,"Barcelona, Spain",Delivery at Barcelona
EVT000011,SHP000544,2023-03-14 21:06:00,delay,"São Paulo, Brazil",Pickup at São Paulo
EVT000012,SHP000088,2023-01-18 01:21:00,delay,"Shanghai, China",Pickup at Shanghai
EVT000013,SHP000321,2024-02-20 23:09:00,departure,"Hong Kong, China",Arrival at Hong Kong
EVT000014,SHP000068,2024-10-08 18:57:00,delay,"Hong Kong, China",Customs Clearance at Hong Kong
EVT000015,SHP000487,2023-12-25 09:19:00,pickup,"Houston, USA",Delay at Houston
EVT000016,SHP000576,2023-11-08 05:26:00,pickup,"Hamburg, Germany",Delivery at Hamburg
EVT000017,SHP000420,2025-08-19 22:17:00,exception,"Hamburg, Germany",Delay at Hamburg
EVT000018,SHP000256,2023-10-28 14:06:00,delay,"Dubai, UAE",Pickup at Dubai
EVT000019,SHP000139,2025-08-26 12:30:00,departure,"Felixstowe, UK",Delay at Felixstowe
EVT000020,SHP000021,2025-01-12 14:37:00,delivery,"Sydney, Australia",Departure at Sydney
EVT000021,SHP000459,2025-10-04 21:36:00,arrival,"Shanghai, China",Arrival at Shanghai
EVT000022,SHP000088,2023-05-22 05:08:00,delivery,"Hong Kong, China",Arrival at Hong Kong
EVT000023,SHP000404,2023-08-16 21:12:00,exception,"Los Angeles, USA",Arrival at Los Angeles
EVT000024,SHP000300,2024-12-27 19:51:00,customs_clearance,"Singapore, Singapore",Pickup at Singapore
EVT000025,SHP000428,2025-01-17 08:12:00,delivery,"Hamburg, Germany",Arrival at Hamburg
EVT000026,SHP000533,2025-09-29 10:57:00,departure,"Shanghai, China",Pickup at Shanghai
EVT000027,SHP000245,2024-06-22 14:27:00,arrival,"Busan, South Korea",Pickup at Busan
EVT000028,SHP000280,2025-07-27 21:05:00,arrival,"Moscow, Russia",Delivery at Moscow
EVT000029,SHP000033,2023-01-22 23:36:00,pickup,"Los Angeles, USA",Arrival at Los Angeles
EVT000030,SHP000390,2025-08-20 12:24:00,pickup,"Tokyo, Japan",Exception at Tokyo
EVT000031,SHP000277,2024-11-18 11:51:00,delivery,"Felixstowe, UK",Delay at Felixstowe
EVT000032,SHP000435,2024-12-01 04:22:00,exception,"Valencia, Spain",Arrival at Valencia
