line_id,po_id,product_id,quantity,unit_price,line_total
POL000001,PO00053,PRD00028,80,2084.52,166761.87
POL000002,PO00097,PRD00072,315,1458.95,459569.12
POL000003,PO00270,PRD00069,365,2404.23,877543.7
POL000004,PO00388,PRD00015,214,2178.54,466207.33
POL000005,PO00040,PRD00015,420,1960.77,823521.96
POL000006,PO00009,PRD00062,179,2051.17,367160.19
POL000007,PO00186,PRD00018,419,1960.83,821587.59
POL000008,PO00306,PRD00067,391,456.58,178524.55
POL000009,PO00089,PRD00091,156,1512.22,235906.94
POL000010,PO00061,PRD00029,66,840.42,55467.98
POL000011,PO00073,PRD00089,117,165.56,19370.4
POL000012,PO00108,PRD00017,41,2080.12,85285.03
POL000013,PO00391,PRD00015,40,1886.41,75456.32
POL000014,PO00248,PRD00097,221,996.97,220331.23
POL000015,PO00056,PRD00005,407,2466.81,1003992.26
POL000016,PO00304,PRD00008,241,823.3,198414.93
POL000017,PO00130,PRD00006,34,1640.69,55783.51
POL000018,PO00006,PRD00097,50,1253.46,62672.99
POL000019,PO00309,PRD00027,301,610.46,183747.75
POL000020,PO00095,PRD00086,180,1488.52,267933.5
POL000021,PO00075,PRD00096,483,1595.25,770506.93
POL000022,PO00297,PRD00045,181,1930.81,349476.25
POL000023,PO00257,PRD00100,374,776.85,290542.76
POL000024,PO00259,PRD00073,35,610.74,21376.07
POL000025,PO00297,PRD00098,8,28.7,229.57
POL000026,PO00367,PRD00025,494,1062.68,524961.68
POL000027,PO00387,PRD00069,3,2704.34,8113.02
POL000028,PO00051,PRD00028,472,2085.03,984134.58
POL000029,PO00363,PRD00061,188,311.71,58601.18
POL000030,PO00095,PRD00057,345,1339.4,462094.42
POL000031,PO00093,PRD00046,195,1925.75,375522.02
POL000032,PO00264,PRD00030,209,104.79,21901.04
POL000033,PO00161,PRD00016,239,1349.17,322452.74
POL000034,PO00070,PRD00064,391,1061.77,415153.72
POL000035,PO00148,PRD00072,370,1190.17,440361.21
POL000036,PO00168,PRD00064,60,1069.6,64175.7
POL000037,PO00234,PRD00077,377,1800.74,678879.69
POL000038,PO00228,PRD00029,284,738.04,209604.41
POL000039,PO00220,PRD00025,439,990.27,434729.44
POL000040,PO00244,PRD00087,189,1942.3,367094.17
