category_id,category_name,description,parent_category
CAT001,Electronics,Electronic components and devices,
CAT002,Raw Materials,Base materials for manufacturing,
CAT003,Packaging,Packaging materials and supplies,
CAT004,Mechanical Parts,Mechanical components and assemblies,
CAT005,Chemicals,Industrial chemicals and compounds,
CAT006,Textiles,Fabrics and textile materials,
CAT007,Automotive,Automotive parts and accessories,Mechanical Parts
CAT008,Consumer Goods,Finished consumer products,Electronics
CAT009,Industrial Equipment,Heavy machinery and equipment,Mechanical Parts
CAT010,Food & Beverage,Food ingredients and beverages,Raw Materials
CAT011,Pharmaceuticals,Pharma ingredients and products,Chemicals
CAT012,Semiconductors,Chips and electronic components,Electronics
