po_id,supplier_id,order_date,expected_delivery,status,total_amount
PO00001,SUP00003,2025-08-31,2025-10-15,draft,23671.3
PO00002,SUP00016,2023-11-19,2023-12-27,received,14164.53
PO00003,SUP00022,2023-05-03,2023-05-13,submitted,53649.89
PO00004,SUP00045,2023-08-08,2023-08-23,approved,73432.51
PO00005,SUP00036,2024-12-12,2025-01-16,draft,110111.73
PO00006,SUP00045,2025-02-12,2025-03-13,approved,108797.67
PO00007,SUP00058,2023-03-22,2023-04-29,received,106140.58
PO00008,SUP00019,2025-09-30,2025-10-19,received,85221.91
PO00009,SUP00023,2024-10-24,2024-11-29,received,41661.01
PO00010,SUP00059,2023-11-25,2023-12-06,in_transit,79905.05
PO00011,SUP00019,2024-06-23,2024-08-03,draft,55383.35
PO00012,SUP00050,2025-11-02,2025-12-03,draft,110181.83
PO00013,SUP00040,2025-01-15,2025-02-06,draft,48443.77
PO00014,SUP00043,2025-03-04,2025-03-23,in_transit,78848.43
PO00015,SUP00050,2023-11-12,2023-12-07,cancelled,48728.71
PO00016,SUP00021,2023-08-15,2023-08-28,draft,78718.48
PO00017,SUP00003,2023-09-23,2023-10-11,submitted,131087.17
PO00018,SUP00007,2025-09-21,2025-10-10,received,15263.66
PO00019,SUP00042,2025-03-06,2025-04-13,cancelled,79110.29
PO00020,SUP00038,2024-06-08,2024-06-18,received,55269.93
PO00021,SUP00046,2023-05-26,2023-06-02,submitted,139566.55
PO00022,SUP00042,2025-10-03,2025-10-15,cancelled,70474.84
PO00023,SUP00004,2025-01-09,2025-02-20,in_transit,111649.88
PO00024,SUP00053,2025-01-25,2025-02-04,approved,123634.62
PO00025,SUP00034,2023-03-25,2023-04-05,draft,125251.25
PO00026,SUP00014,2025-11-29,2025-12-12,submitted,15633.16
PO00027,SUP00035,2025-02-28,2025-03-19,cancelled,29371.36
PO00028,SUP00016,2024-01-02,2024-02-13,in_transit,112504.56
PO00029,SUP00048,2023-08-05,2023-09-17,in_transit,54015.52
PO00030,SUP00045,2025-05-24,2025-06-06,submitted,25437.99
PO00031,SUP00036,2025-04-02,2025-05-11,submitted,50958.17
PO00032,SUP00035,2025-06-26,2025-07-25,received,135421.5
PO00033,SUP00021,2025-01-31,2025-03-05,in_transit,114745.56
PO00034,SUP00053,2024-10-24,2024-12-08,received,36488.02
PO00035,SUP00014,2025-02-07,2025-03-21,approved,138958.96
PO00036,SUP00024,2025-07-15,2025-08-19,draft,143993.75
PO00037,SUP00047,2023-03-12,2023-04-06,received,89566.54
PO00038,SUP00009,2024-09-10,2024-09-17,submitted,45399.93
PO00039,SUP00014,2024-10-06,2024-10-14,cancelled,115842.7
PO00040,SUP00053,2024-07-19,2024-08-30,received,76935.09
PO00041,SUP00060,2023-11-13,2023-11-26,approved,6141.58
PO00042,SUP00010,2023-10-11,2023-11-03,received,55378.89
PO00043,SUP00016,2024-04-22,2024-05-15,draft,121755.6
PO00044,SUP00037,2025-03-29,2025-05-11,cancelled,137723.33
PO00045,SUP00005,2024-10-26,2024-12-02,cancelled,26348.92
PO00046,SUP00045,2023-07-15,2023-08-29,draft,96517.07
PO00047,SUP00047,2025-02-20,2025-03-04,approved,117128.23
PO00048,SUP00023,2025-06-08,2025-07-11,draft,139571.79
PO00049,SUP00056,2024-04-09,2024-05-24,cancelled,139333.65
PO00050,SUP00050,2025-02-22,2025-03-04,draft,46065.12
PO00051,SUP00021,2023-11-03,2023-11-30,submitted,75609.04
PO00052,SUP00010,2023-04-14,2023-05-16,received,145670.52
PO00053,SUP00037,2025-10-30,2025-11-11,approved,33701.8
PO00054,SUP00051,2025-03-18,2025-04-03,draft,20262.26
PO00055,SUP00031,2023-04-11,2023-05-23,draft,60179.1
PO00056,SUP00026,2025-10-24,2025-11-27,submitted,116186.86
PO00057,SUP00049,2023-10-04,2023-11-10,in_transit,84114.78
PO00058,SUP00026,2024-02-06,2024-03-19,cancelled,92591.53
PO00059,SUP00034,2024-05-19,2024-06-10,in_transit,11210.78
PO00060,SUP00021,2023-07-03,2023-07-17,in_transit,100926.26
PO00061,SUP00024,2024-12-14,2025-01-02,received,48450.39
PO00062,SUP00042,2023-02-19,2023-03-17,approved,25803.66
PO00063,SUP00040,2025-06-24,2025-07-10,submitted,66349.28
PO00064,SUP00013,2025-02-04,2025-02-20,draft,113781.2
PO00065,SUP00008,2023-04-22,2023-05-14,submitted,142366.67
PO00066,SUP00056,2024-08-12,2024-08-19,draft,51819.07
PO00067,SUP00020,2025-07-10,2025-08-16,submitted,3900.84
PO00068,SUP00048,2024-03-09,2024-03-29,approved,82190.42
PO00069,SUP00036,2025-09-16,2025-10-02,cancelled,104413.14
PO00070,SUP00002,2025-02-10,2025-03-26,received,135953.02
PO00071,SUP00003,2024-06-07,2024-06-24,submitted,9486.45
PO00072,SUP00051,2024-07-09,2024-07-19,draft,70011.64
PO00073,SUP00005,2025-03-06,2025-03-30,cancelled,99615.75
PO00074,SUP00024,2023-08-09,2023-08-17,cancelled,44228.09
PO00075,SUP00025,2024-04-18,2024-05-19,cancelled,76526.78
PO00076,SUP00007,2024-10-08,2024-11-15,received,130082.53
PO00077,SUP00006,2024-01-17,2024-02-05,in_transit,75347.3
PO00078,SUP00036,2023-02-14,2023-02-23,received,37485.12
PO00079,SUP00020,2024-11-14,2024-12-22,submitted,59313.27
PO00080,SUP00002,2024-12-11,2025-01-09,approved,53629.03
PO00081,SUP00016,2025-10-23,2025-11-16,cancelled,121877.98
PO00082,SUP00017,2025-03-03,2025-03-11,approved,141648.44
PO00083,SUP00015,2023-11-07,2023-12-05,cancelled,134627.71
PO00084,SUP00009,2023-06-29,2023-07-30,cancelled,78347.32
PO00085,SUP00040,2024-04-10,2024-05-13,submitted,36433.94
PO00086,SUP00028,2024-10-01,2024-11-15,received,49728.07
PO00087,SUP00009,2024-02-28,2024-03-14,cancelled,87364.09
PO00088,SUP00052,2024-02-19,2024-03-05,cancelled,46695.26
PO00089,SUP00058,2025-12-08,2025-12-23,submitted,64794.61
PO00090,SUP00042,2023-11-20,2023-12-17,received,10638.2
PO00091,SUP00047,2023-08-31,2023-09-18,submitted,47980.84
PO00092,SUP00047,2023-03-02,2023-03-29,in_transit,132079.72
