inspection_id,shipment_id,product_id,inspection_date,inspector,result,defect_count,notes
QIN00001,SHP000442,PRD00006,2024-12-20,INSP185,conditional,6,Routine inspection
QIN00002,SHP000255,PRD00097,2023-07-03,INSP164,passed,14,Follow-up required
QIN00003,SHP000151,PRD00003,2023-03-08,INSP117,conditional,0,Routine inspection
QIN00004,SHP000439,PRD00043,2024-03-14,INSP130,pending_review,15,Routine inspection
QIN00005,SHP000019,PRD00087,2024-02-14,INSP112,pending_review,0,Routine inspection
QIN00006,SHP000111,PRD00076,2023-11-26,INSP153,passed,0,Routine inspection
QIN00007,SHP000158,PRD00002,2023-07-31,INSP118,conditional,0,Follow-up required
QIN00008,SHP000384,PRD00038,2024-11-21,INSP141,passed,0,Routine inspection
QIN00009,SHP000303,PRD00076,2023-03-06,INSP164,passed,0,Routine inspection
QIN00010,SHP000564,PRD00027,2025-10-12,INSP151,pending_review,0,Routine inspection
QIN00011,SHP000139,PRD00040,2025-02-12,INSP112,pending_review,0,Follow-up required
QIN00012,SHP000289,PRD00032,2025-12-13,INSP128,passed,0,Routine inspection
QIN00013,SHP000299,PRD00029,2024-10-02,INSP120,conditional,0,Follow-up required
QIN00014,SHP000019,PRD00063,2024-07-23,INSP113,pending_review,13,Routine inspection
QIN00015,SHP000278,PRD00053,2025-03-04,INSP119,pending_review,0,Routine inspection
QIN00016,SHP000535,PRD00078,2025-02-12,INSP120,failed,0,Routine inspection
QIN00017,SHP000336,PRD00081,2025-04-07,INSP107,passed,0,Follow-up required
QIN00018,SHP000133,PRD00029,2024-08-10,INSP104,conditional,0,Routine inspection
QIN00019,SHP000105,PRD00024,2025-01-06,INSP110,conditional,0,Routine inspection
QIN00020,SHP000269,PRD00014,2025-11-23,INSP180,failed,0,Routine inspection
QIN00021,SHP000423,PRD00052,2025-06-02,INSP105,passed,6,Routine inspection
QIN00022,SHP000500,PRD00068,2024-08-24,INSP198,conditional,0,Routine inspection
QIN00023,SHP000598,PRD00072,2025-02-20,INSP124,pending_review,0,Follow-up required
QIN00024,SHP000401,PRD00079,2024-10-23,INSP170,conditional,0,Follow-up required
QIN00025,SHP000149,PRD00021,2024-06-15,INSP188,failed,0,Routine inspection
QIN00026,SHP000403,PRD00025,2023-05-25,INSP131,pending_review,0,Follow-up required
QIN00027,SHP000376,PRD00006,2024-04-08,INSP109,passed,1,Routine inspection
QIN00028,SHP000390,PRD00087,2025-02-18,INSP180,passed,3,Routine inspection
QIN00029,SHP000255,PRD00086,2025-04-17,INSP100,pending_review,0,Follow-up required
QIN00030,SHP000095,PRD00065,2023-09-12,INSP113,failed,12,Routine inspection
QIN00031,SHP000147,PRD00039,2025-09-22,INSP152,failed,0,Routine inspection
QIN00032,SHP000226,PRD00034,2023-06-10,INSP135,passed,0,Follow-up required
QIN00033,SHP000107,PRD00015,2023-08-01,INSP139,passed,10,Routine inspection
QIN00034,SHP000238,PRD00021,2024-10-06,INSP181,passed,0,Routine inspection
QIN00035,SHP000003,PRD00040,2024-09-30,INSP157,passed,0,Routine inspection
QIN00036,SHP000587,PRD00096,2024-07-16,INSP106,pending_review,0,Follow-up required
QIN00037,SHP000516,PRD00059,2025-12-14,INSP127,passed,0,Follow-up required
QIN00038,SHP000363,PRD00098,2025-03-09,INSP134,conditional,0,Routine inspection
QIN00039,SHP000157,PRD00059,2024-11-02,INSP184,pending_review,0,Routine inspection
QIN00040,SHP000466,PRD00093,2024-07-02,INSP103,failed,0,Routine inspection
QIN00041,SHP000461,PRD00034,2024-06-12,INSP179,pending_review,0,Routine inspection
QIN00042,SHP000253,PRD00078,2023-08-07,INSP190,failed,0,Routine inspection
QIN00043,SHP000296,PRD00012,2024-01-16,INSP180,pending_review,2,Follow-up required
QIN00044,SHP000395,PRD00003,2024-04-04,INSP121,pending_review,14,Routine inspection
QIN00045,SHP000067,PRD00090,2023-04-04,INSP144,pending_review,12,Follow-up required
QIN00046,SHP000038,PRD00011,2023-02-24,INSP168,pending_review,0,Follow-up required
QIN00047,SHP000097,PRD00022,2024-10-21,INSP128,pending_review,0,Routine inspection
QIN00048,SHP000022,PRD00008,2024-07-29,INSP156,conditional,12,Routine inspection
QIN00049,SHP000308,PRD00072,2025-02-14,INSP199,conditional,0,Routine inspection
QIN00050,SHP000479,PRD00002,2024-05-19,INSP151,passed,0,Follow-up required
QIN00051,SHP000467,PRD00060,2023-01-09,INSP196,passed,0,Routine inspection
QIN00052,SHP000228,PRD00084,2025-09-11,INSP140,conditional,0,Routine inspection
QIN00053,SHP000038,PRD00057,2025-12-16,INSP113,passed,2,Routine inspection
QIN00054,SHP000588,PRD00091,2025-05-16,INSP106,passed,0,Follow-up required
QIN00055,SHP000096,PRD00035,2024-08-09,INSP137,passed,11,Routine inspection
QIN00056,SHP000434,PRD00058,2024-07-26,INSP129,failed,0,Routine inspection
QIN00057,SHP000311,PRD00085,2025-04-13,INSP189,conditional,0,Follow-up required
QIN00058,SHP000582,PRD00014,2025-09-10,INSP199,passed,7,Routine inspection
QIN00059,SHP000002,PRD00097,2023-04-24,INSP139,failed,0,Routine inspection
QIN00060,SHP000357,PRD00028,2025-03-01,INSP191,passed,15,Routine inspection
QIN00061,SHP000468,PRD00031,2023-08-01,INSP158,failed,9,Routine inspection
QIN00062,SHP000159,PRD00035,2025-11-03,INSP163,failed,6,Routine inspection
QIN00063,SHP000574,PRD00045,2025-12-13,INSP148,conditional,7,Routine inspection
QIN00064,SHP000158,PRD00062,2025-03-05,INSP170,pending_review,0,Follow-up required
QIN00065,SHP000081,PRD00031,2024-07-14,INSP173,failed,15,Routine inspection
QIN00066,SHP000400,PRD00057,2023-03-10,INSP155,passed,0,Routine inspection
QIN00067,SHP000104,PRD00062,2024-04-13,INSP140,pending_review,0,Follow-up required
QIN00068,SHP000125,PRD00050,2023-10-07,INSP143,passed,0,Routine inspection
QIN00069,SHP000571,PRD00079,2024-01-20,INSP147,conditional,0,Routine inspection
QIN00070,SHP000548,PRD00089,2025-07-06,INSP101,passed,10,Routine inspection
QIN00071,SHP000006,PRD00030,2024-05-01,INSP132,failed,0,Routine inspection
QIN00072,SHP000102,PRD00093,2025-03-20,INSP150,failed,0,Follow-up required
QIN00073,SHP000057,PRD00043,2023-02-18,INSP179,failed,0,Follow-up required
QIN00074,SHP000050,PRD00086,2023-06-14,INSP200,passed,0,Routine inspection
QIN00075,SHP000086,PRD00042,2025-05-18,INSP109,pending_review,0,Routine inspection
QIN00076,SHP000198,PRD00072,2024-06-12,INSP200,conditional,2,Follow-up required
QIN00077,SHP000090,PRD00030,2023-01-03,INSP106,failed,0,Follow-up required
QIN00078,SHP000311,PRD00086,2025-02-07,INSP173,passed,12,Routine inspection
QIN00079,SHP000202,PRD00087,2024-03-22,INSP109,passed,0,Follow-up required
QIN00080,SHP000128,PRD00064,2025-08-12,INSP180,failed,0,Routine inspection
QIN00081,SHP000372,PRD00041,2025-05-08,INSP108,failed,0,Follow-up required
QIN00082,SHP000544,PRD00071,2023-10-06,INSP117,passed,0,Routine inspection
QIN00083,SHP000539,PRD00094,2025-03-25,INSP136,passed,0,Follow-up required
QIN00084,SHP000229,PRD00004,2023-11-15,INSP124,pending_review,0,Follow-up required
QIN00085,SHP000447,PRD00078,2024-05-03,INSP154,failed,0,Routine inspection
QIN00086,SHP000068,PRD00053,2025-08-05,INSP155,conditional,0,Follow-up required
QIN00087,SHP000231,PRD00074,2023-05-19,INSP191,failed,0,Routine inspection
QIN00088,SHP000144,PRD00069,2023-11-02,INSP181,pending_review,3,Follow-up required
QIN00089,SHP000247,PRD00060,2024-06-16,INSP177,conditional,5,Routine inspection
QIN00090,SHP000321,PRD00024,2025-04-28,INSP197,conditional,0,Routine inspection
QIN00091,SHP000286,PRD00098,2024-05-23,INSP195,pending_review,13,Routine inspection
QIN00092,SHP000119,PRD00010,2024-09-25,INSP200,failed,0,Routine inspection
QIN00093,SHP000025,PRD00078,2025-11-30,INSP103,conditional,0,Routine inspection
QIN00094,SHP000342,PRD00041,2024-12-13,INSP176,passed,12,Routine inspection
QIN00095,SHP000171,PRD00100,2025-09-13,INSP167,pending_review,1,Follow-up required
QIN00096,SHP000365,PRD00074,2023-07-20,INSP188,failed,0,Routine inspection
QIN00097,SHP000400,PRD00031,2025-08-16,INSP121,passed,0,Routine inspection
QIN00098,SHP000407,PRD00051,2023-02-16,INSP127,failed,0,Routine inspection
QIN00099,SHP000075,PRD00069,2023-01-14,INSP122,conditional,0,Routine inspection
QIN00100,SHP000582,PRD00063,2025-08-17,INSP198,failed,6,Routine inspection
QIN00101,SHP000368,PRD00063,2024-10-08,INSP197,conditional,0,Routine inspection
QIN00102,SHP000150,PRD00033,2025-07-13,INSP134,passed,0,Routine inspection
QIN00103,SHP000222,PRD00051,2025-07-22,INSP101,failed,13,Follow-up required
QIN00104,SHP000364,PRD00051,2025-08-06,INSP155,passed,0,Routine inspection
QIN00105,SHP000569,PRD00038,2023-11-25,INSP126,failed,0,Follow-up required
QIN00106,SHP000044,PRD00047,2025-03-25,INSP131,passed,4,Routine inspection
QIN00107,SHP000171,PRD00081,2024-06-01,INSP181,failed,0,Follow-up required
QIN00108,SHP000176,PRD00015,2023-03-22,INSP160,failed,0,Routine inspection
QIN00109,SHP000236,PRD00092,2025-05-24,INSP145,conditional,0,Follow-up required
QIN00110,SHP000003,PRD00061,2023-10-01,INSP100,passed,0,Routine inspection
QIN00111,SHP000564,PRD00038,2023-10-10,INSP169,pending_review,0,Routine inspection
QIN00112,SHP000448,PRD00088,2023-11-25,INSP162,pending_review,6,Routine inspection
QIN00113,SHP000335,PRD00009,2023-11-18,INSP179,conditional,0,Follow-up required
QIN00114,SHP000020,PRD00003,2025-01-14,INSP110,passed,0,Routine inspection
QIN00115,SHP000551,PRD00099,2024-06-08,INSP190,failed,0,Routine inspection
QIN00116,SHP000213,PRD00089,2023-04-08,INSP101,failed,0,Routine inspection
QIN00117,SHP000138,PRD00017,2024-05-07,INSP141,passed,0,Routine inspection
QIN00118,SHP000237,PRD00001,2024-01-25,INSP185,conditional,0,Routine inspection
QIN00119,SHP000282,PRD00026,2025-07-24,INSP142,failed,0,Routine inspection
QIN00120,SHP000587,PRD00019,2023-03-03,INSP177,passed,12,Follow-up required
QIN00121,SHP000433,PRD00055,2025-02-28,INSP171,pending_review,9,Follow-up required
QIN00122,SHP000212,PRD00001,2024-06-04,INSP147,conditional,2,Routine inspection
QIN00123,SHP000399,PRD00013,2025-06-11,INSP150,conditional,0,Follow-up required
QIN00124,SHP000560,PRD00037,2024-08-17,INSP200,conditional,0,Follow-up required
QIN00125,SHP000098,PRD00063,2025-04-13,INSP138,failed,0,Routine inspection
QIN00126,SHP000175,PRD00067,2023-01-08,INSP175,failed,0,Follow-up required
QIN00127,SHP000007,PRD00041,2023-02-07,INSP183,pending_review,0,Routine inspection
QIN00128,SHP000426,PRD00013,2024-02-04,INSP115,conditional,10,Routine inspection
QIN00129,SHP000251,PRD00090,2023-11-30,INSP117,passed,0,Routine inspection
QIN00130,SHP000198,PRD00059,2025-06-30,INSP181,conditional,0,Routine inspection
QIN00131,SHP000059,PRD00090,2024-09-18,INSP163,pending_review,0,Routine inspection
QIN00132,SHP000204,PRD00077,2025-01-15,INSP105,passed,0,Routine inspection
QIN00133,SHP000163,PRD00042,2024-10-16,INSP164,pending_review,14,Routine inspection
QIN00134,SHP000557,PRD00071,2023-12-29,INSP151,passed,0,Routine inspection
QIN00135,SHP000283,PRD00069,2023-02-08,INSP130,passed,0,Routine inspection
QIN00136,SHP000547,PRD00065,2023-01-15,INSP190,pending_review,0,Routine inspection
QIN00137,SHP000070,PRD00040,2023-09-26,INSP122,failed,0,Routine inspection
QIN00138,SHP000303,PRD00085,2025-01-16,INSP176,failed,0,Routine inspection
QIN00139,SHP000362,PRD00073,2025-04-13,INSP156,conditional,0,Routine inspection
QIN00140,SHP000091,PRD00014,2024-01-21,INSP200,pending_review,7,Follow-up required
QIN00141,SHP000313,PRD00098,2024-11-09,INSP159,pending_review,14,Routine inspection
QIN00142,SHP000333,PRD00099,2023-08-02,INSP111,pending_review,0,Routine inspection
QIN00143,SHP000366,PRD00068,2025-08-09,INSP104,passed,5,Follow-up required
QIN00144,SHP000211,PRD00026,2025-02-15,INSP190,pending_review,0,Routine inspection
QIN00145,SHP000201,PRD00035,2025-07-28,INSP155,passed,0,Routine inspection
QIN00146,SHP000592,PRD00067,2024-04-10,INSP100,pending_review,0,Routine inspection
QIN00147,SHP000120,PRD00096,2024-05-19,INSP193,pending_review,0,Routine inspection
QIN00148,SHP000130,PRD00060,2023-08-04,INSP181,conditional,0,Routine inspection
QIN00149,SHP000226,PRD00028,2025-12-02,INSP186,pending_review,11,Routine inspection
QIN00150,SHP000150,PRD00066,2025-01-18,INSP193,pending_review,0,Follow-up required
QIN00151,SHP000265,PRD00100,2024-04-25,INSP173,pending_review,0,Follow-up required
QIN00152,SHP000583,PRD00002,2023-01-09,INSP160,failed,0,Follow-up required
QIN00153,SHP000597,PRD00079,2024-08-31,INSP200,conditional,0,Routine inspection
QIN00154,SHP000259,PRD00040,2024-07-21,INSP114,passed,0,Routine inspection
QIN00155,SHP000175,PRD00096,2025-05-22,INSP117,pending_review,0,Routine inspection
QIN00156,SHP000292,PRD00084,2024-04-20,INSP138,pending_review,3,Routine inspection
QIN00157,SHP000032,PRD00094,2024-06-14,INSP131,conditional,0,Routine inspection
QIN00158,SHP000215,PRD00079,2025-11-22,INSP142,passed,0,Routine inspection
QIN00159,SHP000587,PRD00055,2025-01-15,INSP164,conditional,0,Routine inspection
QIN00160,SHP000509,PRD00043,2025-05-03,INSP185,passed,0,Routine inspection
QIN00161,SHP000224,PRD00040,2023-03-21,INSP162,failed,0,Routine inspection
QIN00162,SHP000101,PRD00088,2025-08-12,INSP159,pending_review,0,Routine inspection
QIN00163,SHP000198,PRD00041,2023-02-22,INSP182,passed,0,Routine inspection
