return_id,so_id,customer_id,request_date,reason,status,refund_amount
RET00001,SO00462,CUST00083,2025-01-10,expired,approved,0
RET00002,SO00293,CUST00096,2023-05-06,expired,requested,0
RET00003,SO00419,CUST00124,2024-06-01,defective,approved,3277.04
RET00004,SO00463,CUST00129,2024-10-27,damaged_in_transit,refunded,0
RET00005,SO00284,CUST00008,2023-08-22,wrong_item,received,3649.3
RET00006,SO00120,CUST00095,2025-10-25,expired,received,0
RET00007,SO00104,CUST00113,2025-06-04,expired,approved,2137.59
RET00008,SO00213,CUST00067,2024-01-16,customer_change,approved,0
RET00009,SO00066,CUST00026,2023-08-27,wrong_item,requested,3096.23
RET00010,SO00453,CUST00095,2025-10-26,defective,approved,0
RET00011,SO00149,CUST00027,2023-03-12,wrong_item,rejected,3011.71
RET00012,SO00285,CUST00048,2025-02-16,expired,refunded,0
RET00013,SO00185,CUST00033,2024-01-21,defective,rejected,0
RET00014,SO00295,CUST00104,2025-11-16,wrong_item,requested,960.97
RET00015,SO00201,CUST00051,2023-07-12,customer_change,approved,0
RET00016,SO00221,CUST00112,2025-09-28,defective,received,3557.62
RET00017,SO00357,CUST00067,2025-09-18,defective,requested,1088.28
RET00018,SO00281,CUST00124,2023-08-24,quality_issue,refunded,0
RET00019,SO00165,CUST00005,2023-08-18,wrong_item,approved,114.63
RET00020,SO00455,CUST00107,2024-07-11,damaged_in_transit,rejected,0
RET00021,SO00015,CUST00083,2023-06-06,damaged_in_transit,rejected,0
RET00022,SO00201,CUST00051,2023-04-29,expired,refunded,0
RET00023,SO00385,CUST00110,2025-01-03,expired,refunded,0
RET00024,SO00039,CUST00096,2024-03-03,defective,refunded,0
RET00025,SO00101,CUST00093,2025-10-28,expired,requested,0
RET00026,SO00498,CUST00077,2024-10-08,expired,refunded,4855.22
RET00027,SO00489,CUST00011,2025-02-15,wrong_item,requested,0
RET00028,SO00446,CUST00063,2023-02-16,defective,received,1404.68
RET00029,SO00468,CUST00122,2025-03-24,expired,rejected,0
RET00030,SO00367,CUST00100,2024-05-22,wrong_item,refunded,0
RET00031,SO00253,CUST00095,2024-10-13,quality_issue,requested,2899.99
RET00032,SO00444,CUST00058,2024-07-15,expired,requested,989.5
RET00033,SO00094,CUST00073,2024-09-02,wrong_item,requested,2031.1
RET00034,SO00456,CUST00057,2024-08-23,damaged_in_transit,rejected,2760.3
RET00035,SO00320,CUST00134,2024-05-13,customer_change,received,26.02
RET00036,SO00296,CUST00081,2024-01-17,wrong_item,rejected,1625.11
RET00037,SO00278,CUST00017,2025-02-04,quality_issue,received,1780.35
RET00038,SO00446,CUST00063,2024-03-09,quality_issue,requested,4774.08
RET00039,SO00401,CUST00052,2024-03-15,damaged_in_transit,rejected,3891.43
RET00040,SO00121,CUST00147,2025-10-12,quality_issue,rejected,2739.02
RET00041,SO00251,CUST00090,2025-03-22,quality_issue,approved,0
RET00042,SO00124,CUST00106,2023-03-08,damaged_in_transit,approved,0
RET00043,SO00225,CUST00044,2025-11-28,damaged_in_transit,refunded,0
RET00044,SO00410,CUST00031,2025-11-25,customer_change,refunded,1328.74
RET00045,SO00202,CUST00023,2025-10-02,defective,approved,0
RET00046,SO00117,CUST00118,2025-07-25,damaged_in_transit,received,2875.44
RET00047,SO00247,CUST00090,2023-03-18,defective,received,0
RET00048,SO00155,CUST00135,2025-11-16,defective,requested,1346.77
RET00049,SO00410,CUST00031,2025-01-27,customer_change,approved,3533.67
RET00050,SO00365,CUST00146,2025-02-15,defective,requested,0
RET00051,SO00196,CUST00094,2023-07-28,damaged_in_transit,refunded,4298.74
RET00052,SO00450,CUST00092,2023-06-05,defective,rejected,1998.34
RET00053,SO00384,CUST00148,2024-11-12,damaged_in_transit,received,1348.07
RET00054,SO00498,CUST00077,2024-06-12,wrong_item,refunded,1233.99
RET00055,SO00260,CUST00147,2024-04-19,customer_change,refunded,0
RET00056,SO00137,CUST00021,2024-02-11,damaged_in_transit,received,1573.8
RET00057,SO00174,CUST00039,2025-04-20,customer_change,requested,0
RET00058,SO00004,CUST00067,2023-07-09,quality_issue,refunded,688.33
RET00059,SO00255,CUST00108,2024-03-27,quality_issue,refunded,2357.88
RET00060,SO00137,CUST00021,2023-07-22,expired,refunded,4014.61
RET00061,SO00200,CUST00081,2025-12-31,damaged_in_transit,requested,1624.22
RET00062,SO00348,CUST00026,2023-02-13,quality_issue,approved,0
