line_id,so_id,product_id,quantity,unit_price,line_total
SOL000001,SO00020,PRD00082,128,2389.32,305833.32
SOL000002,SO00497,PRD00015,169,2636.26,445528.05
SOL000003,SO00063,PRD00074,74,2221.01,164354.84
SOL000004,SO00329,PRD00020,31,1809.71,56100.91
SOL000005,SO00450,PRD00007,20,2178.89,43577.8
SOL000006,SO00043,PRD00043,56,1023.69,57326.39
SOL000007,SO00211,PRD00077,170,1965.63,334156.48
SOL000008,SO00339,PRD00024,100,2292.09,229209.46
SOL000009,SO00281,PRD00033,89,1105.23,98365.39
SOL000010,SO00166,PRD00023,194,1822.41,353548.51
SOL000011,SO00379,PRD00040,20,1282.22,25644.37
SOL000012,SO00325,PRD00047,73,304.76,22247.74
SOL000013,SO00415,PRD00009,182,2209.6,402147.17
SOL000014,SO00278,PRD00077,181,2068.82,374455.57
SOL000015,SO00267,PRD00068,92,581.34,53483.35
SOL000016,SO00310,PRD00037,130,2661.41,345983.53
SOL000017,SO00487,PRD00077,57,2279.26,129917.75
SOL000018,SO00016,PRD00048,28,2227.16,62360.43
SOL000019,SO00322,PRD00090,188,1872.33,351997.52
SOL000020,SO00232,PRD00045,170,2526.15,429444.71
SOL000021,SO00107,PRD00047,94,330.26,31044.88
SOL000022,SO00152,PRD00019,48,31.38,1506.03
SOL000023,SO00371,PRD00012,117,1913.96,223932.87
SOL000024,SO00207,PRD00018,195,2187.21,426506.46
SOL000025,SO00208,PRD00047,7,284.87,1994.1
SOL000026,SO00448,PRD00002,122,384.13,46864.29
SOL000027,SO00022,PRD00011,76,447.7,34024.95
SOL000028,SO00335,PRD00036,29,434.46,12599.34
SOL000029,SO00003,PRD00049,131,1630.38,213579.4
SOL000030,SO00493,PRD00054,47,2009.67,94454.46
SOL000031,SO00404,PRD00090,132,1930.81,254866.75
SOL000032,SO00414,PRD00014,2,1919.21,3838.42
SOL000033,SO00327,PRD00053,105,668.99,70244.16
SOL000034,SO00031,PRD00087,70,2571.31,179991.91
SOL000035,SO00412,PRD00098,26,29.75,773.55
SOL000036,SO00275,PRD00019,2,31.59,63.18
SOL000037,SO00087,PRD00025,129,1269.03,163705.09
SOL000038,SO00063,PRD00045,169,2038.8,344556.74
SOL000039,SO00118,PRD00019,142,28.64,4067.51
SOL000040,SO00090,PRD00072,40,1359.94,54397.68
SOL000041,SO00275,PRD00036,121,376.5,45556.99
SOL000042,SO00080,PRD00068,50,569.8,28490.07
SOL000043,SO00311,PRD00076,153,1107.0,169370.26
SOL000044,SO00001,PRD00035,24,1123.14,26955.3
SOL000045,SO00385,PRD00071,69,2162.19,149191.28
SOL000046,SO00411,PRD00015,59,2230.92,131624.43
SOL000047,SO00401,PRD00014,181,1990.8,360334.51
SOL000048,SO00127,PRD00045,171,1953.9,334117.38
SOL000049,SO00437,PRD00100,81,720.04,58322.91
SOL000050,SO00496,PRD00100,114,885.36,100930.82
SOL000051,SO00085,PRD00099,165,1449.77,239211.78
SOL000052,SO00068,PRD00001,112,2338.32,261892.33
SOL000053,SO00328,PRD00090,171,1882.78,321955.43
SOL000054,SO00251,PRD00072,11,1490.34,16393.78
SOL000055,SO00238,PRD00068,62,514.02,31869.47
SOL000056,SO00475,PRD00070,5,2694.47,13472.33
SOL000057,SO00013,PRD00039,27,2468.49,66649.27
SOL000058,SO00466,PRD00092,85,731.69,62193.86
SOL000059,SO00040,PRD00079,86,2486.43,213832.98
SOL000060,SO00065,PRD00098,131,32.1,4205.06
SOL000061,SO00049,PRD00084,68,1782.87,121235.15
SOL000062,SO00285,PRD00053,117,621.08,72665.86
SOL000063,SO00453,PRD00081,33,2632.16,86861.2
SOL000064,SO00090,PRD00011,165,407.2,67187.77
SOL000065,SO00285,PRD00079,58,1941.17,112587.97
SOL000066,SO00114,PRD00097,89,1212.56,107917.73
SOL000067,SO00468,PRD00072,165,1536.55,253530.57
SOL000068,SO00013,PRD00087,59,2233.73,131789.96
SOL000069,SO00300,PRD00099,30,1506.03,45181.0
SOL000070,SO00050,PRD00029,170,824.58,140178.0
SOL000071,SO00464,PRD00092,114,733.5,83618.64
SOL000072,SO00470,PRD00031,185,2409.48,445753.54
SOL000073,SO00295,PRD00002,82,484.76,39750.18
SOL000074,SO00283,PRD00042,89,708.76,63079.44
SOL000075,SO00402,PRD00048,152,2215.57,336766.8
SOL000076,SO00358,PRD00099,6,1455.57,8733.4
SOL000077,SO00143,PRD00024,148,2911.28,430869.39
SOL000078,SO00001,PRD00054,155,2443.61,378760.09
SOL000079,SO00291,PRD00082,13,2669.97,34709.56
SOL000080,SO00184,PRD00020,134,1949.9,261286.44
SOL000081,SO00279,PRD00055,4,1316.94,5267.76
SOL000082,SO00373,PRD00007,100,1956.64,195663.82
SOL000083,SO00236,PRD00031,60,2444.78,146686.78
SOL000084,SO00140,PRD00048,114,2414.98,275308.28
SOL000085,SO00043,PRD00052,82,98.51,8078.16
SOL000086,SO00213,PRD00012,58,2072.96,120231.65
SOL000087,SO00287,PRD00009,77,2286.85,176087.78
SOL000088,SO00283,PRD00008,36,936.37,33709.29
SOL000089,SO00326,PRD00003,132,2373.64,313320.96
SOL000090,SO00246,PRD00093,103,799.44,82341.87
SOL000091,SO00083,PRD00082,157,2785.33,437296.24
SOL000092,SO00152,PRD00035,78,1278.66,99735.52
SOL000093,SO00429,PRD00064,47,1104.49,51911.11
SOL000094,SO00449,PRD00002,137,417.1,57143.26
SOL000095,SO00095,PRD00031,191,2224.18,424819.31
SOL000096,SO00129,PRD00023,55,1645.7,90513.65
SOL000097,SO00003,PRD00099,9,1344.36,12099.22
SOL000098,SO00233,PRD00091,33,1747.73,57674.98
SOL000099,SO00369,PRD00043,88,997.6,87788.73
SOL000100,SO00448,PRD00051,154,1168.94,180016.13
SOL000101,SO00274,PRD00044,81,89.69,7264.63
SOL000102,SO00434,PRD00075,8,1844.2,14753.64
SOL000103,SO00428,PRD00064,145,1265.98,183567.61
SOL000104,SO00008,PRD00021,72,1132.45,81536.2
SOL000105,SO00232,PRD00008,62,1114.58,69103.8
SOL000106,SO00110,PRD00029,169,716.13,121026.07
SOL000107,SO00407,PRD00044,173,93.35,16149.48
SOL000108,SO00184,PRD00024,57,2876.54,163963.06
SOL000109,SO00165,PRD00082,138,2837.97,391639.65
SOL000110,SO00072,PRD00068,100,547.48,54747.78
SOL000111,SO00144,PRD00003,36,2608.63,93910.66
SOL000112,SO00201,PRD00024,177,2703.81,478574.73
SOL000113,SO00047,PRD00057,41,1094.96,44893.48
SOL000114,SO00152,PRD00021,154,1123.25,172980.14
SOL000115,SO00068,PRD00004,78,1335.08,104136.29
SOL000116,SO00238,PRD00070,197,2222.48,437829.37
SOL000117,SO00062,PRD00046,176,1915.89,337196.4
SOL000118,SO00091,PRD00052,98,112.94,11067.65
SOL000119,SO00244,PRD00001,102,2290.0,233579.95
SOL000120,SO00065,PRD00046,193,1793.09,346065.65
SOL000121,SO00111,PRD00016,60,1643.76,98625.3
SOL000122,SO00257,PRD00006,78,1848.28,144166.09
SOL000123,SO00481,PRD00046,2,1882.91,3765.81
SOL000124,SO00024,PRD00054,25,2262.83,56570.68
SOL000125,SO00025,PRD00014,148,2069.97,306355.59
SOL000126,SO00125,PRD00028,96,2260.87,217043.47
SOL000127,SO00251,PRD00078,125,2269.17,283646.47
SOL000128,SO00032,PRD00001,15,2592.01,38880.21
SOL000129,SO00095,PRD00091,149,1927.48,287195.21
SOL000130,SO00221,PRD00013,97,1030.48,99956.24
SOL000131,SO00431,PRD00044,97,96.35,9346.09
SOL000132,SO00347,PRD00036,180,395.23,71141.95
SOL000133,SO00264,PRD00095,95,444.53,42229.93
SOL000134,SO00308,PRD00040,1,1591.91,1591.91
SOL000135,SO00297,PRD00080,37,1147.24,42447.95
SOL000136,SO00147,PRD00100,89,840.12,74770.62
SOL000137,SO00112,PRD00018,191,1936.32,369837.25
SOL000138,SO00493,PRD00050,167,343.08,57295.03
SOL000139,SO00239,PRD00069,197,2184.74,430393.62
SOL000140,SO00170,PRD00049,75,1537.79,115333.97
SOL000141,SO00148,PRD00032,114,1972.61,224877.35
SOL000142,SO00379,PRD00016,158,1510.54,238664.56
SOL000143,SO00388,PRD00046,51,2174.2,110884.38
SOL000144,SO00359,PRD00014,21,2345.2,49249.27
SOL000145,SO00499,PRD00064,110,1319.23,145115.29
SOL000146,SO00365,PRD00055,88,1192.61,104949.4
SOL000147,SO00091,PRD00085,121,1287.47,155783.44
SOL000148,SO00389,PRD00054,18,1926.06,34669.08
SOL000149,SO00402,PRD00074,41,2490.43,102107.7
SOL000150,SO00421,PRD00090,166,1861.35,308984.6
SOL000151,SO00281,PRD00008,105,1021.28,107233.98
SOL000152,SO00409,PRD00093,160,676.49,108238.76
SOL000153,SO00068,PRD00032,18,2406.25,43312.55
SOL000154,SO00201,PRD00062,161,2313.49,372471.81
SOL000155,SO00475,PRD00057,7,1196.42,8374.96
SOL000156,SO00423,PRD00062,162,2235.54,362157.21
SOL000157,SO00172,PRD00032,35,2063.17,72210.98
SOL000158,SO00351,PRD00063,32,1378.69,44117.98
SOL000159,SO00300,PRD00020,19,2091.11,39731.05
SOL000160,SO00194,PRD00082,133,2692.39,358088.4
SOL000161,SO00332,PRD00066,95,78.9,7495.13
SOL000162,SO00467,PRD00064,22,1024.73,22544.05
SOL000163,SO00434,PRD00020,156,1789.83,279213.0
SOL000164,SO00012,PRD00006,8,2061.45,16491.64
SOL000165,SO00126,PRD00059,87,1404.88,122224.6
SOL000166,SO00126,PRD00073,193,736.84,142210.14
SOL000167,SO00465,PRD00090,39,2171.03,84670.23
SOL000168,SO00360,PRD00090,19,1797.48,34152.05
SOL000169,SO00133,PRD00056,89,2691.35,239530.18
SOL000170,SO00321,PRD00065,98,336.53,32979.48
SOL000171,SO00107,PRD00017,123,2397.32,294869.94
SOL000172,SO00275,PRD00092,67,700.26,46917.32
SOL000173,SO00338,PRD00071,52,2380.82,123802.44
SOL000174,SO00255,PRD00053,88,674.4,59347.21
