shipment_id,po_id,warehouse_id,ship_date,carrier,tracking_number,status,estimated_arrival
SHP000001,PO00220,WH004,2024-12-23,DHL,TRK582543215,picked_up,2025-01-06
SHP000002,PO00018,WH009,2024-06-02,Kuehne+Nagel,TRK415114820,delayed,2024-06-23
SHP000003,PO00331,WH009,2024-12-22,FedEx,TRK223104450,picked_up,2025-01-06
SHP000004,PO00166,WH007,2024-01-16,UPS,TRK177996967,picked_up,2024-01-30
SHP000005,PO00337,WH006,2025-01-31,MSC,TRK231322499,pending,2025-02-07
SHP000006,PO00164,WH001,2024-11-04,DB Schenker,TRK709315470,in_transit,2024-11-13
SHP000007,PO00120,WH009,2023-05-16,CMA CGM,TRK746179886,picked_up,2023-05-31
SHP000008,PO00270,WH004,2023-07-30,CMA CGM,TRK869084355,delayed,2023-08-19
SHP000009,PO00344,WH002,2025-05-13,MSC,TRK973375668,in_transit,2025-05-29
SHP000010,PO00102,WH004,2023-04-12,DB Schenker,TRK150242357,in_transit,2023-04-30
SHP000011,PO00216,WH002,2023-09-12,Maersk,TRK745781277,in_transit,2023-09-29
SHP000012,PO00303,WH007,2024-04-29,FedEx,TRK406056061,pending,2024-05-20
SHP000013,PO00330,WH010,2023-01-10,CMA CGM,TRK240722504,delivered,2023-01-27
SHP000014,PO00019,WH009,2025-12-16,MSC,TRK792322606,pending,2025-12-20
SHP000015,PO00036,WH008,2023-07-14,CMA CGM,TRK394928476,in_transit,2023-07-30
SHP000016,PO00386,WH006,2025-03-30,XPO Logistics,TRK931734840,in_transit,2025-04-04
SHP000017,PO00253,WH010,2023-04-07,CMA CGM,TRK847814942,delivered,2023-04-22
SHP000018,PO00253,WH002,2025-02-04,FedEx,TRK340533586,pending,2025-02-10
SHP000019,PO00006,WH003,2023-08-04,Kuehne+Nagel,TRK343032073,picked_up,2023-08-17
SHP000020,PO00046,WH004,2025-01-25,FedEx,TRK838993413,pending,2025-02-14
SHP000021,PO00133,WH001,2023-08-15,CMA CGM,TRK180575920,in_transit,2023-08-19
SHP000022,PO00169,WH010,2025-02-16,Maersk,TRK247922246,delayed,2025-02-27
SHP000023,PO00236,WH002,2023-09-16,Maersk,TRK908564991,delayed,2023-09-29
SHP000024,PO00212,WH008,2023-09-08,XPO Logistics,TRK358260082,delayed,2023-09-27
SHP000025,PO00245,WH008,2024-07-28,DB Schenker,TRK342483672,pending,2024-08-10
SHP000026,PO00136,WH005,2023-06-19,XPO Logistics,TRK997156491,picked_up,2023-07-03
SHP000027,PO00338,WH004,2023-06-09,DB Schenker,TRK164711124,picked_up,2023-06-14
SHP000028,PO00007,WH004,2025-08-16,UPS,TRK623605451,pending,2025-08-31
SHP000029,PO00175,WH004,2025-12-16,MSC,TRK916567721,in_transit,2026-01-04
SHP000030,PO00363,WH008,2023-11-12,DHL,TRK239651408,picked_up,2023-12-01
SHP000031,PO00187,WH007,2025-07-15,UPS,TRK937541239,delivered,2025-08-03
SHP000032,PO00097,WH002,2024-07-23,Maersk,TRK836872507,in_transit,2024-08-08
SHP000033,PO00296,WH002,2023-10-29,DHL,TRK899965574,pending,2023-11-15
SHP000034,PO00124,WH001,2025-08-01,CMA CGM,TRK130694250,delivered,2025-08-09
SHP000035,PO00339,WH009,2025-07-16,CMA CGM,TRK227051781,delayed,2025-07-30
SHP000036,PO00044,WH006,2025-06-02,Maersk,TRK526198198,delayed,2025-06-11
SHP000037,PO00221,WH009,2024-11-14,DB Schenker,TRK392690066,in_transit,2024-11-18
SHP000038,PO00051,WH001,2025-02-22,UPS,TRK415686428,picked_up,2025-03-10
SHP000039,PO00207,WH003,2024-07-19,CEVA,TRK630016390,delayed,2024-08-07
SHP000040,PO00222,WH002,2023-04-13,DHL,TRK335771983,pending,2023-04-23
SHP000041,PO00028,WH001,2024-06-29,DHL,TRK671372089,pending,2024-07-09
SHP000042,PO00142,WH004,2025-04-08,Kuehne+Nagel,TRK208774639,picked_up,2025-04-23
SHP000043,PO00376,WH005,2025-10-11,Maersk,TRK943668641,picked_up,2025-10-20
SHP000044,PO00178,WH005,2024-08-12,DHL,TRK298726872,delayed,2024-08-15
SHP000045,PO00359,WH010,2025-09-03,UPS,TRK282785838,in_transit,2025-09-15
SHP000046,PO00349,WH002,2023-12-08,MSC,TRK588784803,picked_up,2023-12-16
SHP000047,PO00007,WH008,2025-05-26,FedEx,TRK290605328,in_transit,2025-06-08
SHP000048,PO00040,WH003,2023-01-20,DB Schenker,TRK726162060,pending,2023-02-03
SHP000049,PO00251,WH004,2025-08-25,FedEx,TRK979315574,pending,2025-08-31
SHP000050,PO00291,WH005,2024-04-12,XPO Logistics,TRK279642094,picked_up,2024-05-01
SHP000051,PO00397,WH002,2023-07-24,MSC,TRK585993109,delivered,2023-08-05
SHP000052,PO00377,WH006,2024-06-11,CMA CGM,TRK491152693,delivered,2024-06-29
SHP000053,PO00007,WH006,2024-09-08,XPO Logistics,TRK931641272,exception,2024-09-21
SHP000054,PO00306,WH008,2023-08-19,XPO Logistics,TRK881915487,exception,2023-08-30
SHP000055,PO00011,WH003,2025-04-20,Maersk,TRK483534575,delivered,2025-04-30
SHP000056,PO00016,WH004,2025-06-01,UPS,TRK899255963,pending,2025-06-15
SHP000057,PO00100,WH007,2023-08-10,XPO Logistics,TRK582399282,delayed,2023-08-21
SHP000058,PO00090,WH005,2024-12-15,Kuehne+Nagel,TRK732592673,delivered,2024-12-28
SHP000059,PO00142,WH005,2024-01-26,CEVA,TRK658429212,exception,2024-01-30
SHP000060,PO00176,WH010,2023-09-09,DB Schenker,TRK708449151,in_transit,2023-09-25
SHP000061,PO00148,WH002,2023-01-18,Maersk,TRK600704573,exception,2023-02-05
SHP000062,PO00077,WH009,2024-08-16,Maersk,TRK426036979,delivered,2024-09-05
SHP000063,PO00148,WH002,2024-08-26,DB Schenker,TRK143973049,picked_up,2024-08-29
SHP000064,PO00145,WH010,2023-09-10,DB Schenker,TRK428373339,pending,2023-09-14
SHP000065,PO00221,WH006,2023-01-02,CMA CGM,TRK247874417,in_transit,2023-01-06
SHP000066,PO00146,WH009,2023-11-14,CMA CGM,TRK253163103,exception,2023-11-19
SHP000067,PO00101,WH007,2023-06-15,UPS,TRK134506505,delivered,2023-06-27
SHP000068,PO00182,WH004,2025-03-02,Kuehne+Nagel,TRK205375617,in_transit,2025-03-18
SHP000069,PO00155,WH010,2024-09-28,CEVA,TRK567954159,exception,2024-10-06
SHP000070,PO00166,WH010,2023-10-13,CMA CGM,TRK245696833,delivered,2023-10-22
SHP000071,PO00284,WH004,2024-09-08,DHL,TRK419260106,delayed,2024-09-20
SHP000072,PO00322,WH008,2024-01-11,Kuehne+Nagel,TRK203124635,picked_up,2024-01-26
SHP000073,PO00270,WH008,2024-10-03,MSC,TRK602917984,in_transit,2024-10-22
SHP000074,PO00219,WH008,2025-05-11,DB Schenker,TRK129713590,delayed,2025-05-27
SHP000075,PO00014,WH007,2023-07-01,CEVA,TRK424688774,picked_up,2023-07-08
SHP000076,PO00298,WH009,2025-02-03,CEVA,TRK683331234,delayed,2025-02-10
SHP000077,PO00151,WH001,2025-03-15,Kuehne+Nagel,TRK819492101,pending,2025-03-22
SHP000078,PO00237,WH009,2025-07-31,DHL,TRK158725903,in_transit,2025-08-04
SHP000079,PO00333,WH002,2024-11-13,CMA CGM,TRK707140225,delivered,2024-11-19
SHP000080,PO00354,WH006,2023-05-05,CEVA,TRK824145444,delayed,2023-05-11
SHP000081,PO00379,WH001,2024-02-24,Maersk,TRK703495788,exception,2024-03-14
SHP000082,PO00254,WH003,2024-04-02,CMA CGM,TRK774566985,in_transit,2024-04-09
SHP000083,PO00369,WH001,2025-09-20,DHL,TRK172093245,pending,2025-09-29
SHP000084,PO00079,WH010,2023-09-05,DHL,TRK365435516,picked_up,2023-09-24
SHP000085,PO00054,WH008,2023-02-20,DB Schenker,TRK519525848,pending,2023-03-11
SHP000086,PO00063,WH005,2025-04-08,Maersk,TRK980759236,picked_up,2025-04-26
SHP000087,PO00280,WH005,2025-06-18,Kuehne+Nagel,TRK257030842,exception,2025-06-24
SHP000088,PO00012,WH003,2023-10-18,Maersk,TRK649235047,exception,2023-10-28
SHP000089,PO00359,WH009,2024-02-15,DB Schenker,TRK411423990,in_transit,2024-03-04
SHP000090,PO00342,WH002,2025-10-06,CMA CGM,TRK520036225,delivered,2025-10-20
SHP000091,PO00358,WH002,2025-08-08,Kuehne+Nagel,TRK259092607,pending,2025-08-24
SHP000092,PO00146,WH008,2023-09-04,Kuehne+Nagel,TRK111832249,delayed,2023-09-25
SHP000093,PO00156,WH001,2025-06-29,MSC,TRK249576019,delivered,2025-07-03
SHP000094,PO00371,WH008,2024-07-21,Maersk,TRK484128628,delayed,2024-07-24
SHP000095,PO00258,WH004,2024-12-15,Kuehne+Nagel,TRK650878040,pending,2025-01-03
SHP000096,PO00090,WH003,2024-12-21,MSC,TRK593364765,exception,2025-01-11
SHP000097,PO00072,WH005,2024-09-12,DHL,TRK792707365,delivered,2024-09-27
SHP000098,PO00193,WH008,2024-01-05,XPO Logistics,TRK932577261,exception,2024-01-26
SHP000099,PO00270,WH005,2023-09-23,CEVA,TRK723548418,in_transit,2023-10-06
SHP000100,PO00300,WH010,2025-04-06,FedEx,TRK131698835,exception,2025-04-11
SHP000101,PO00082,WH004,2023-07-17,DB Schenker,TRK829416737,delivered,2023-07-23
SHP000102,PO00166,WH004,2024-04-29,Maersk,TRK881859239,delivered,2024-05-05
SHP000103,PO00387,WH007,2023-05-12,CEVA,TRK368954985,pending,2023-05-16
SHP000104,PO00020,WH002,2025-06-23,CEVA,TRK777846827,pending,2025-07-07
SHP000105,PO00090,WH006,2023-08-09,Kuehne+Nagel,TRK243040275,exception,2023-08-26
SHP000106,PO00294,WH009,2024-02-14,CMA CGM,TRK627317852,delivered,2024-02-23
SHP000107,PO00348,WH005,2024-04-06,Maersk,TRK566071607,delayed,2024-04-15
SHP000108,PO00099,WH002,2023-02-19,UPS,TRK135690309,picked_up,2023-02-25
SHP000109,PO00003,WH006,2025-04-15,XPO Logistics,TRK177271956,in_transit,2025-05-06
SHP000110,PO00095,WH009,2025-10-13,UPS,TRK712430196,delivered,2025-10-22
SHP000111,PO00257,WH006,2024-12-31,Maersk,TRK960707039,pending,2025-01-20
SHP000112,PO00225,WH007,2025-02-09,CEVA,TRK183906278,picked_up,2025-02-14
SHP000113,PO00265,WH005,2023-07-26,DB Schenker,TRK347576416,pending,2023-08-01
SHP000114,PO00308,WH009,2024-11-08,UPS,TRK981894010,in_transit,2024-11-11
SHP000115,PO00129,WH007,2025-01-02,Maersk,TRK409311735,pending,2025-01-07
SHP000116,PO00274,WH010,2024-05-09,CEVA,TRK636921386,in_transit,2024-05-28
SHP000117,PO00205,WH010,2023-04-27,DHL,TRK725747220,delivered,2023-05-17
SHP000118,PO00135,WH001,2023-03-08,Kuehne+Nagel,TRK380118955,picked_up,2023-03-21
SHP000119,PO00172,WH001,2023-10-13,XPO Logistics,TRK976991925,exception,2023-10-22
SHP000120,PO00169,WH001,2024-04-27,DHL,TRK965073062,delayed,2024-05-15
SHP000121,PO00313,WH001,2024-12-09,Kuehne+Nagel,TRK742256122,exception,2024-12-14
SHP000122,PO00314,WH002,2025-09-07,CMA CGM,TRK876669432,pending,2025-09-14
SHP000123,PO00054,WH001,2025-10-14,UPS,TRK798294005,in_transit,2025-11-02
SHP000124,PO00221,WH008,2024-09-13,FedEx,TRK159438642,pending,2024-09-23
SHP000125,PO00397,WH004,2025-12-30,FedEx,TRK693238019,delivered,2026-01-14
SHP000126,PO00027,WH007,2025-02-11,Kuehne+Nagel,TRK853055712,delivered,2025-02-18
SHP000127,PO00282,WH003,2023-08-25,DHL,TRK761052590,in_transit,2023-09-11
SHP000128,PO00181,WH004,2024-12-03,FedEx,TRK355733316,picked_up,2024-12-19
SHP000129,PO00048,WH010,2023-01-21,Kuehne+Nagel,TRK902595907,delayed,2023-01-31
SHP000130,PO00291,WH001,2023-01-31,FedEx,TRK182261164,pending,2023-02-10
SHP000131,PO00065,WH008,2024-01-05,FedEx,TRK437290100,in_transit,2024-01-17
SHP000132,PO00309,WH004,2024-08-21,CEVA,TRK527154520,delivered,2024-08-28
SHP000133,PO00337,WH002,2023-06-07,CMA CGM,TRK683735661,picked_up,2023-06-12
SHP000134,PO00254,WH006,2024-03-27,CMA CGM,TRK493991984,delayed,2024-04-13
SHP000135,PO00150,WH004,2025-12-14,MSC,TRK849226645,delayed,2025-12-25
SHP000136,PO00258,WH002,2023-04-21,Kuehne+Nagel,TRK857526651,delayed,2023-05-05
SHP000137,PO00249,WH005,2023-06-10,Maersk,TRK659414065,picked_up,2023-06-19
SHP000138,PO00157,WH009,2024-03-07,MSC,TRK878366992,picked_up,2024-03-13
SHP000139,PO00019,WH004,2025-06-20,DHL,TRK122859588,delivered,2025-07-07
SHP000140,PO00018,WH005,2024-07-23,Kuehne+Nagel,TRK422565839,pending,2024-08-13
SHP000141,PO00031,WH005,2025-02-25,FedEx,TRK510800934,delivered,2025-03-15
SHP000142,PO00228,WH001,2024-04-04,Kuehne+Nagel,TRK298026764,exception,2024-04-13
SHP000143,PO00221,WH009,2023-04-18,FedEx,TRK681483989,in_transit,2023-04-30
SHP000144,PO00014,WH010,2024-11-19,CEVA,TRK332512511,pending,2024-11-30
SHP000145,PO00175,WH010,2025-06-07,FedEx,TRK966935604,pending,2025-06-23
SHP000146,PO00284,WH007,2024-08-11,DB Schenker,TRK555089389,delayed,2024-08-31
SHP000147,PO00369,WH010,2025-11-28,Maersk,TRK509408129,delivered,2025-12-09
SHP000148,PO00382,WH004,2023-09-28,CMA CGM,TRK958552071,exception,2023-10-01
SHP000149,PO00141,WH002,2024-05-26,CMA CGM,TRK462422604,delayed,2024-06-15
SHP000150,PO00203,WH001,2024-07-15,CMA CGM,TRK807842761,in_transit,2024-07-29
SHP000151,PO00335,WH010,2023-01-26,CMA CGM,TRK710358959,exception,2023-02-01
SHP000152,PO00165,WH005,2024-01-02,DB Schenker,TRK118539966,delivered,2024-01-19
SHP000153,PO00005,WH008,2023-03-17,DB Schenker,TRK784771439,delayed,2023-03-31
SHP000154,PO00112,WH007,2023-04-30,DHL,TRK396831273,delayed,2023-05-21
SHP000155,PO00283,WH006,2023-05-12,Maersk,TRK377032861,in_transit,2023-05-29
SHP000156,PO00133,WH008,2023-09-18,Maersk,TRK257734586,delayed,2023-09-28
SHP000157,PO00336,WH001,2024-04-21,FedEx,TRK297842828,exception,2024-04-27
SHP000158,PO00260,WH008,2024-10-11,XPO Logistics,TRK870256962,picked_up,2024-10-15
SHP000159,PO00032,WH005,2024-06-11,MSC,TRK680294485,exception,2024-06-14
SHP000160,PO00023,WH010,2024-04-25,DHL,TRK183192595,delayed,2024-05-09
SHP000161,PO00228,WH002,2025-11-12,UPS,TRK319088340,in_transit,2025-11-17
