equipment_id,station_id,equipment_type,location_description,installation_date,last_inspection_date,status,manufacturer
EQ0001,ST0072,wheelchair_ramp,Exit B,2016-09-11,2025-08-03,operational,Schindler
EQ0002,ST0030,escalator,Platform level,2008-03-22,2024-03-17,operational,Mitsubishi
EQ0003,ST0236,escalator,Main entrance,2021-06-08,2024-04-12,out_of_service,ThyssenKrupp
EQ0004,ST0228,wheelchair_ramp,Mezzanine,2018-09-01,2024-07-06,operational,Schindler
EQ0005,ST0189,induction_loop,Platform level,2010-12-27,2025-09-10,operational,Otis
EQ0006,ST0109,wheelchair_ramp,Mezzanine,2015-08-29,2025-11-07,operational,Schindler
EQ0007,ST0038,tactile_strip,Platform level,2011-06-12,2025-06-15,operational,Mitsubishi
EQ0008,ST0013,audio_announcement,Platform level,2023-04-13,2024-01-01,operational,Kone
EQ0009,ST0008,tactile_strip,Mezzanine,2013-02-27,2025-12-21,operational,Mitsubishi
EQ0010,ST0025,tactile_strip,Exit B,2023-01-27,2024-11-21,operational,Mitsubishi
EQ0011,ST0227,wheelchair_ramp,Main entrance,2012-02-09,2025-01-10,out_of_service,Schindler
EQ0012,ST0166,tactile_strip,Main entrance,2011-07-22,2024-09-12,out_of_service,Kone
EQ0013,ST0216,elevator,Corridor to line transfer,2012-03-02,2025-03-10,out_of_service,Kone
EQ0014,ST0070,wheelchair_ramp,Exit B,2005-10-03,2025-05-08,operational,Kone
EQ0015,ST0061,wheelchair_ramp,Main entrance,2017-04-13,2024-12-19,out_of_service,Mitsubishi
EQ0016,ST0154,induction_loop,Platform level,2009-11-19,2025-04-04,operational,Mitsubishi
EQ0017,ST0017,escalator,Main entrance,2005-01-06,2025-09-09,operational,ThyssenKrupp
EQ0018,ST0160,audio_announcement,Mezzanine,2020-05-03,2025-10-11,operational,Kone
EQ0019,ST0020,elevator,Main entrance,2024-03-28,2024-06-01,under_repair,Kone
EQ0020,ST0064,tactile_strip,Exit B,2019-07-25,2025-01-14,under_repair,Kone
EQ0021,ST0237,audio_announcement,Corridor to line transfer,2020-02-02,2025-10-20,operational,Mitsubishi
EQ0022,ST0085,elevator,Main entrance,2021-08-09,2024-08-13,under_repair,ThyssenKrupp
EQ0023,ST0031,escalator,Platform level,2022-07-18,2024-04-21,out_of_service,Kone
EQ0024,ST0118,tactile_strip,Main entrance,2017-03-25,2025-07-08,under_repair,Otis
EQ0025,ST0161,induction_loop,Corridor to line transfer,2005-03-29,2024-11-21,out_of_service,Kone
EQ0026,ST0189,audio_announcement,Main entrance,2023-07-17,2024-12-29,operational,Otis
EQ0027,ST0155,tactile_strip,Corridor to line transfer,2022-12-24,2025-02-11,under_repair,Schindler
EQ0028,ST0129,escalator,Platform level,2010-02-04,2024-05-26,out_of_service,Otis
EQ0029,ST0093,elevator,Platform level,2007-10-15,2025-02-02,operational,ThyssenKrupp
EQ0030,ST0236,induction_loop,Corridor to line transfer,2022-11-07,2025-07-28,out_of_service,ThyssenKrupp
EQ0031,ST0003,wheelchair_ramp,Main entrance,2023-06-06,2024-01-10,operational,Schindler
EQ0032,ST0127,escalator,Mezzanine,2023-04-14,2024-02-08,out_of_service,Schindler
EQ0033,ST0241,wheelchair_ramp,Exit B,2016-10-30,2025-12-12,under_repair,Mitsubishi
EQ0034,ST0190,wheelchair_ramp,Corridor to line transfer,2012-12-20,2025-11-09,operational,ThyssenKrupp
EQ0035,ST0004,wheelchair_ramp,Mezzanine,2012-02-24,2024-12-26,operational,Schindler
EQ0036,ST0156,wheelchair_ramp,Platform level,2006-01-18,2025-05-06,under_repair,Mitsubishi
EQ0037,ST0082,escalator,Exit B,2006-10-26,2025-06-19,operational,Mitsubishi
EQ0038,ST0246,audio_announcement,Mezzanine,2009-07-29,2024-09-25,under_repair,ThyssenKrupp
EQ0039,ST0095,wheelchair_ramp,Corridor to line transfer,2016-04-18,2024-09-16,operational,Kone
EQ0040,ST0056,wheelchair_ramp,Main entrance,2005-10-19,2024-03-12,operational,Otis
EQ0041,ST0184,tactile_strip,Corridor to line transfer,2021-05-29,2024-02-14,operational,Kone
EQ0042,ST0218,induction_loop,Corridor to line transfer,2008-12-28,2025-04-09,operational,Schindler
EQ0043,ST0093,audio_announcement,Mezzanine,2005-11-12,2025-04-04,under_repair,Kone
EQ0044,ST0110,escalator,Corridor to line transfer,2014-06-06,2024-05-18,under_repair,ThyssenKrupp
EQ0045,ST0041,elevator,Mezzanine,2019-05-22,2025-07-31,operational,Otis
EQ0046,ST0041,elevator,Mezzanine,2007-11-29,2025-03-30,under_repair,Kone
EQ0047,ST0197,audio_announcement,Platform level,2010-07-23,2024-09-26,under_repair,Mitsubishi
EQ0048,ST0019,induction_loop,Exit B,2006-07-20,2024-01-22,operational,Schindler
EQ0049,ST0185,audio_announcement,Main entrance,2018-10-30,2024-11-22,operational,Schindler
EQ0050,ST0142,audio_announcement,Corridor to line transfer,2016-02-05,2024-05-12,operational,Otis
EQ0051,ST0218,audio_announcement,Platform level,2021-04-19,2024-11-28,under_repair,Mitsubishi
EQ0052,ST0222,elevator,Main entrance,2012-05-22,2025-11-07,operational,Kone
EQ0053,ST0011,escalator,Platform level,2014-04-25,2025-03-31,operational,Mitsubishi
EQ0054,ST0079,elevator,Platform level,2015-09-17,2025-04-20,operational,ThyssenKrupp
EQ0055,ST0185,induction_loop,Corridor to line transfer,2011-06-09,2025-03-27,under_repair,Otis
EQ0056,ST0056,wheelchair_ramp,Mezzanine,2010-03-09,2024-01-25,out_of_service,Schindler
EQ0057,ST0007,escalator,Corridor to line transfer,2013-06-07,2024-07-05,operational,Otis
EQ0058,ST0096,induction_loop,Mezzanine,2010-09-26,2025-01-09,operational,Schindler
EQ0059,ST0048,elevator,Corridor to line transfer,2016-04-20,2024-12-01,out_of_service,Schindler
EQ0060,ST0203,escalator,Exit B,2012-09-28,2025-11-12,operational,Kone
EQ0061,ST0216,escalator,Corridor to line transfer,2015-11-24,2025-11-04,operational,Mitsubishi
EQ0062,ST0182,escalator,Exit B,2009-10-26,2024-02-04,operational,Kone
EQ0063,ST0146,wheelchair_ramp,Corridor to line transfer,2012-09-26,2025-10-07,operational,Mitsubishi
EQ0064,ST0122,elevator,Corridor to line transfer,2005-06-28,2024-01-25,under_repair,Otis
EQ0065,ST0008,escalator,Mezzanine,2023-05-31,2025-06-03,out_of_service,Schindler
EQ0066,ST0041,audio_announcement,Corridor to line transfer,2017-01-29,2024-11-23,operational,Otis
EQ0067,ST0136,audio_announcement,Main entrance,2017-04-29,2025-02-10,operational,Otis
EQ0068,ST0205,escalator,Exit B,2022-02-08,2025-12-07,operational,Mitsubishi
EQ0069,ST0055,wheelchair_ramp,Main entrance,2017-09-10,2025-03-15,under_repair,Otis
EQ0070,ST0183,elevator,Mezzanine,2011-01-02,2024-03-28,operational,ThyssenKrupp
EQ0071,ST0169,induction_loop,Exit B,2024-10-03,2025-11-04,under_repair,Kone
EQ0072,ST0138,induction_loop,Corridor to line transfer,2006-02-19,2024-01-19,operational,ThyssenKrupp
EQ0073,ST0032,elevator,Exit B,2007-07-02,2025-12-31,out_of_service,ThyssenKrupp
EQ0074,ST0082,elevator,Main entrance,2011-04-05,2024-07-22,under_repair,Mitsubishi
EQ0075,ST0087,induction_loop,Corridor to line transfer,2006-12-30,2025-05-03,operational,Schindler
EQ0076,ST0174,induction_loop,Exit B,2015-04-13,2025-02-09,out_of_service,ThyssenKrupp
EQ0077,ST0127,audio_announcement,Corridor to line transfer,2014-01-09,2025-04-05,operational,Mitsubishi
EQ0078,ST0023,audio_announcement,Main entrance,2007-07-27,2024-05-06,out_of_service,Mitsubishi
EQ0079,ST0137,escalator,Mezzanine,2006-02-24,2025-12-03,out_of_service,Schindler
EQ0080,ST0044,wheelchair_ramp,Main entrance,2021-03-01,2024-02-15,operational,Schindler
EQ0081,ST0237,audio_announcement,Main entrance,2022-08-19,2025-02-16,out_of_service,ThyssenKrupp
EQ0082,ST0025,tactile_strip,Platform level,2008-05-12,2024-12-17,operational,Otis
EQ0083,ST0068,tactile_strip,Platform level,2012-07-21,2024-03-21,out_of_service,Mitsubishi
EQ0084,ST0061,tactile_strip,Main entrance,2019-12-25,2024-03-28,operational,ThyssenKrupp
EQ0085,ST0020,wheelchair_ramp,Mezzanine,2010-02-20,2024-01-25,out_of_service,Schindler
EQ0086,ST0148,escalator,Corridor to line transfer,2016-08-25,2025-04-10,operational,Kone
EQ0087,ST0246,audio_announcement,Mezzanine,2021-10-30,2024-12-12,operational,Otis
EQ0088,ST0223,audio_announcement,Main entrance,2011-01-09,2025-01-30,operational,Kone
EQ0089,ST0001,induction_loop,Main entrance,2014-11-07,2025-02-03,operational,Schindler
EQ0090,ST0111,induction_loop,Platform level,2017-04-11,2024-08-18,under_repair,Otis
EQ0091,ST0030,induction_loop,Exit B,2016-11-08,2025-10-30,operational,ThyssenKrupp
EQ0092,ST0232,induction_loop,Exit B,2005-04-05,2024-05-09,operational,Schindler
EQ0093,ST0078,wheelchair_ramp,Platform level,2022-04-28,2024-01-21,under_repair,Otis
EQ0094,ST0209,audio_announcement,Main entrance,2022-07-06,2024-08-29,under_repair,Kone
EQ0095,ST0051,escalator,Platform level,2013-03-30,2024-10-25,operational,Kone
EQ0096,ST0079,audio_announcement,Platform level,2015-08-05,2025-06-20,operational,Kone
EQ0097,ST0211,induction_loop,Corridor to line transfer,2010-09-11,2025-07-21,out_of_service,Kone
EQ0098,ST0234,escalator,Corridor to line transfer,2019-07-31,2024-12-10,operational,ThyssenKrupp
EQ0099,ST0214,wheelchair_ramp,Exit B,2005-11-10,2025-11-18,out_of_service,Schindler
EQ0100,ST0112,audio_announcement,Exit B,2020-12-03,2024-11-22,operational,ThyssenKrupp
EQ0101,ST0095,elevator,Mezzanine,2019-06-24,2025-07-01,operational,Schindler
EQ0102,ST0104,elevator,Mezzanine,2021-04-12,2024-09-23,under_repair,Mitsubishi
EQ0103,ST0191,escalator,Main entrance,2022-02-06,2024-06-08,under_repair,Kone
EQ0104,ST0070,audio_announcement,Main entrance,2007-06-13,2024-07-01,operational,Schindler
EQ0105,ST0067,induction_loop,Corridor to line transfer,2015-05-12,2024-06-28,operational,Mitsubishi
EQ0106,ST0126,audio_announcement,Corridor to line transfer,2014-09-08,2024-11-04,out_of_service,Mitsubishi
EQ0107,ST0124,escalator,Mezzanine,2006-05-26,2024-10-21,operational,Otis
EQ0108,ST0175,wheelchair_ramp,Corridor to line transfer,2016-05-16,2024-04-22,operational,Mitsubishi
EQ0109,ST0043,audio_announcement,Platform level,2007-12-01,2025-03-15,operational,Schindler
EQ0110,ST0146,elevator,Platform level,2020-07-12,2024-01-06,operational,Kone
EQ0111,ST0061,audio_announcement,Platform level,2005-05-06,2025-02-02,operational,Otis
