incident_id,line_id,station_id,incident_type,severity,description,start_datetime,end_datetime,duration_minutes,passengers_affected,status
INC0001,L050,ST0244,track_fault,critical,Incident reported on the network requiring attention.,2024-03-15 07:59:07,2025-11-30 21:06:55,48,23959,resolved
INC0002,L040,ST0046,signal_failure,minor,Incident reported on the network requiring attention.,2025-09-17 05:02:47,2025-09-21 16:47:06,59,43055,under_investigation
INC0003,L052,ST0191,door_malfunction,critical,Incident reported on the network requiring attention.,2025-12-09 21:56:44,2024-09-05 18:34:16,238,30448,under_investigation
INC0004,L035,,strike_action,moderate,Incident reported on the network requiring attention.,2024-08-02 05:42:23,2024-11-08 17:20:59,227,30699,under_investigation
INC0005,L027,ST0176,trespasser_on_track,critical,Incident reported on the network requiring attention.,2024-07-28 21:40:13,2025-07-06 21:45:36,208,16664,resolved
INC0006,L013,ST0012,weather_disruption,moderate,Incident reported on the network requiring attention.,2024-10-04 08:16:25,2024-03-11 19:18:45,48,17551,ongoing
INC0007,L019,ST0172,signal_failure,major,Incident reported on the network requiring attention.,2025-06-08 15:22:16,2025-07-14 18:49:27,115,17057,ongoing
INC0008,L047,,suspicious_package,critical,Incident reported on the network requiring attention.,2025-07-11 22:29:51,2024-11-23 16:15:01,120,3504,resolved
INC0009,L026,ST0207,rolling_stock_issue,minor,Incident reported on the network requiring attention.,2025-09-13 09:01:07,2024-01-13 05:48:27,179,25192,resolved
INC0010,L019,ST0066,strike_action,minor,Incident reported on the network requiring attention.,2025-05-05 11:03:39,2025-02-28 08:20:48,198,6739,under_investigation
INC0011,L024,ST0236,overcrowding,major,Incident reported on the network requiring attention.,2024-01-23 21:57:26,2024-02-06 11:05:27,192,37050,under_investigation
INC0012,L014,ST0111,overcrowding,minor,Incident reported on the network requiring attention.,2025-08-31 13:48:10,2025-07-08 23:42:09,202,13927,ongoing
INC0013,L019,ST0175,strike_action,major,Incident reported on the network requiring attention.,2025-08-15 18:10:50,2024-07-21 19:59:17,9,33497,resolved
INC0014,L006,,suspicious_package,critical,Incident reported on the network requiring attention.,2024-07-01 22:22:05,2025-05-03 18:56:43,96,7195,resolved
INC0015,L031,ST0034,trespasser_on_track,major,Incident reported on the network requiring attention.,2025-09-13 21:34:35,2025-07-20 13:37:47,105,18545,ongoing
INC0016,L031,ST0174,trespasser_on_track,major,Incident reported on the network requiring attention.,2024-09-02 14:46:27,2025-05-28 08:12:26,177,15659,under_investigation
INC0017,L024,ST0095,overcrowding,moderate,Incident reported on the network requiring attention.,2024-12-03 21:57:24,2024-10-27 21:35:52,28,12240,under_investigation
INC0018,L039,ST0151,weather_disruption,minor,Incident reported on the network requiring attention.,2024-08-04 19:11:06,2024-10-21 06:22:00,203,2652,resolved
INC0019,L011,ST0233,suspicious_package,minor,Incident reported on the network requiring attention.,2025-03-27 06:30:16,2025-08-13 23:37:34,220,3376,under_investigation
INC0020,L009,,track_fault,minor,Incident reported on the network requiring attention.,2025-11-05 21:05:47,2024-01-29 20:00:58,225,20387,resolved
INC0021,L008,ST0133,track_fault,moderate,Incident reported on the network requiring attention.,2025-07-23 18:47:45,2024-06-17 16:55:52,45,7215,under_investigation
INC0022,L012,ST0227,signal_failure,moderate,Incident reported on the network requiring attention.,2024-09-05 20:25:54,2025-05-07 13:53:23,102,28482,ongoing
INC0023,L017,ST0119,signal_failure,critical,Incident reported on the network requiring attention.,2024-05-15 06:06:48,2025-12-04 08:40:03,54,1008,ongoing
INC0024,L002,ST0071,track_fault,minor,Incident reported on the network requiring attention.,2024-12-27 12:18:44,2024-05-27 23:08:37,8,24354,resolved
INC0025,L034,ST0143,strike_action,moderate,Incident reported on the network requiring attention.,2024-04-29 18:30:02,2025-01-09 06:57:53,229,22283,resolved
INC0026,L016,ST0082,overcrowding,moderate,Incident reported on the network requiring attention.,2024-06-20 19:25:48,2024-07-07 13:42:59,138,23175,under_investigation
INC0027,L035,,rolling_stock_issue,minor,Incident reported on the network requiring attention.,2024-04-17 20:34:16,2025-07-28 18:09:55,216,33852,ongoing
INC0028,L018,,signal_failure,moderate,Incident reported on the network requiring attention.,2024-03-26 11:55:35,2024-11-24 15:01:38,183,27590,ongoing
INC0029,L037,,track_fault,minor,Incident reported on the network requiring attention.,2024-12-25 16:44:31,2024-11-14 13:29:34,116,18635,ongoing
INC0030,L029,,rolling_stock_issue,minor,Incident reported on the network requiring attention.,2025-10-21 06:07:45,2025-07-25 23:47:17,227,33399,resolved
INC0031,L021,ST0154,power_outage,critical,Incident reported on the network requiring attention.,2025-04-14 12:25:47,2025-12-23 21:05:03,204,3636,ongoing
INC0032,L050,ST0219,passenger_incident,moderate,Incident reported on the network requiring attention.,2025-03-16 09:48:28,2025-08-19 17:35:02,138,8254,under_investigation
INC0033,L048,,door_malfunction,major,Incident reported on the network requiring attention.,2025-07-20 08:10:04,2025-06-06 05:19:52,5,44869,resolved
INC0034,L020,ST0143,track_fault,minor,Incident reported on the network requiring attention.,2024-11-07 12:35:14,2024-07-12 16:39:56,129,7290,ongoing
INC0035,L012,,overcrowding,moderate,Incident reported on the network requiring attention.,2024-07-05 14:46:56,2025-03-17 09:45:32,190,8570,resolved
INC0036,L031,ST0111,suspicious_package,major,Incident reported on the network requiring attention.,2025-10-11 20:44:27,2024-07-04 08:26:41,94,44859,resolved
INC0037,L055,ST0189,signal_failure,critical,Incident reported on the network requiring attention.,2024-05-31 12:17:44,2025-09-24 23:38:44,5,83,resolved
INC0038,L030,ST0239,track_fault,major,Incident reported on the network requiring attention.,2025-03-13 11:41:05,2025-01-31 22:05:15,175,6392,resolved
INC0039,L042,,rolling_stock_issue,critical,Incident reported on the network requiring attention.,2024-02-14 06:11:44,2024-04-20 16:41:51,113,3787,under_investigation
INC0040,L019,ST0169,passenger_incident,critical,Incident reported on the network requiring attention.,2025-04-20 21:08:17,2024-02-16 12:07:46,17,22117,under_investigation
INC0041,L021,,passenger_incident,critical,Incident reported on the network requiring attention.,2024-06-11 12:37:25,2025-11-01 08:07:48,139,18841,under_investigation
INC0042,L028,ST0209,trespasser_on_track,major,Incident reported on the network requiring attention.,2024-02-29 15:30:20,2025-11-30 21:06:39,15,26852,resolved
INC0043,L047,ST0031,strike_action,minor,Incident reported on the network requiring attention.,2024-02-23 17:37:11,2025-03-29 13:29:25,74,1581,ongoing
INC0044,L037,ST0239,rolling_stock_issue,minor,Incident reported on the network requiring attention.,2025-04-02 08:24:14,2024-05-06 15:49:10,167,19084,resolved
INC0045,L044,,suspicious_package,major,Incident reported on the network requiring attention.,2024-05-23 05:06:10,2025-12-20 09:31:12,237,9929,resolved
INC0046,L017,ST0204,medical_emergency,critical,Incident reported on the network requiring attention.,2024-04-25 05:41:27,2025-03-13 10:19:36,68,40508,resolved
INC0047,L033,,weather_disruption,major,Incident reported on the network requiring attention.,2025-06-04 11:16:33,2024-06-28 08:28:03,57,3524,under_investigation
INC0048,L032,ST0238,passenger_incident,minor,Incident reported on the network requiring attention.,2025-06-22 12:41:52,2025-07-22 06:34:13,168,44180,under_investigation
INC0049,L042,,door_malfunction,major,Incident reported on the network requiring attention.,2024-08-21 17:18:06,2024-06-14 18:29:31,149,16316,resolved
INC0050,L040,ST0224,trespasser_on_track,minor,Incident reported on the network requiring attention.,2025-10-26 20:11:04,2025-07-03 23:45:10,132,41956,resolved
INC0051,L032,ST0017,door_malfunction,major,Incident reported on the network requiring attention.,2025-02-04 21:15:09,2025-07-21 10:02:19,130,21088,resolved
INC0052,L051,ST0031,trespasser_on_track,major,Incident reported on the network requiring attention.,2025-06-10 10:05:58,2024-07-03 15:27:06,99,45669,resolved
INC0053,L038,ST0216,power_outage,minor,Incident reported on the network requiring attention.,2024-10-19 14:56:58,2024-02-01 21:56:36,144,28405,ongoing
INC0054,L023,ST0239,door_malfunction,moderate,Incident reported on the network requiring attention.,2025-03-28 22:50:05,2024-08-17 09:30:28,28,27116,ongoing
INC0055,L054,ST0186,rolling_stock_issue,major,Incident reported on the network requiring attention.,2025-12-05 12:21:26,2025-03-01 13:35:02,12,20485,ongoing
INC0056,L051,ST0239,signal_failure,moderate,Incident reported on the network requiring attention.,2024-10-29 22:43:50,2025-03-13 08:47:14,10,26180,resolved
INC0057,L043,ST0016,trespasser_on_track,critical,Incident reported on the network requiring attention.,2024-04-07 23:29:24,2025-09-25 19:44:49,206,44011,resolved
INC0058,L011,ST0078,overcrowding,minor,Incident reported on the network requiring attention.,2024-07-09 17:34:58,2024-02-01 22:10:33,188,17544,resolved
INC0059,L007,ST0113,power_outage,major,Incident reported on the network requiring attention.,2025-04-03 22:28:36,2025-08-08 10:00:56,25,11332,ongoing
INC0060,L019,ST0105,strike_action,major,Incident reported on the network requiring attention.,2024-01-23 05:58:37,2024-02-24 11:09:05,133,37167,resolved
INC0061,L005,ST0193,trespasser_on_track,minor,Incident reported on the network requiring attention.,2025-10-03 22:35:43,2024-01-31 08:04:43,231,44091,under_investigation
INC0062,L007,,trespasser_on_track,critical,Incident reported on the network requiring attention.,2025-08-10 12:49:35,2024-12-27 06:24:02,172,47236,resolved
INC0063,L034,,weather_disruption,minor,Incident reported on the network requiring attention.,2024-11-29 07:21:32,2024-10-11 23:30:21,203,17769,resolved
INC0064,L040,ST0218,weather_disruption,minor,Incident reported on the network requiring attention.,2025-03-20 06:42:51,2024-07-06 09:05:27,74,18456,resolved
INC0065,L039,,rolling_stock_issue,moderate,Incident reported on the network requiring attention.,2024-12-04 06:57:08,2025-05-26 16:31:48,12,26628,resolved
INC0066,L021,ST0067,overcrowding,major,Incident reported on the network requiring attention.,2025-11-05 13:53:44,2024-01-18 22:43:45,20,25795,resolved
INC0067,L011,ST0106,overcrowding,major,Incident reported on the network requiring attention.,2024-10-30 10:16:27,2025-08-24 11:06:42,24,18570,ongoing
INC0068,L008,,track_fault,critical,Incident reported on the network requiring attention.,2025-10-11 22:56:10,2025-11-08 14:43:44,215,6152,resolved
INC0069,L017,ST0101,medical_emergency,minor,Incident reported on the network requiring attention.,2024-10-17 22:21:06,2024-03-27 05:16:44,159,47391,under_investigation
INC0070,L034,,signal_failure,critical,Incident reported on the network requiring attention.,2025-01-04 13:15:36,2025-01-31 05:22:11,36,943,under_investigation
INC0071,L019,ST0222,door_malfunction,moderate,Incident reported on the network requiring attention.,2025-12-20 14:37:01,2025-09-10 15:57:02,27,13544,resolved
INC0072,L015,ST0054,track_fault,minor,Incident reported on the network requiring attention.,2025-02-16 08:16:19,2025-05-16 14:05:52,46,14713,under_investigation
INC0073,L041,ST0069,track_fault,major,Incident reported on the network requiring attention.,2025-04-10 15:53:28,2024-08-01 14:25:24,201,49931,ongoing
INC0074,L030,ST0199,overcrowding,major,Incident reported on the network requiring attention.,2024-03-12 15:54:20,2025-07-18 05:37:11,44,38419,resolved
INC0075,L041,,track_fault,critical,Incident reported on the network requiring attention.,2025-03-26 09:24:31,2025-11-30 15:54:15,130,825,ongoing
