line_id,line_code,line_name,mode_id,operator_id,color_hex,opening_year,line_length_km,station_count,avg_daily_ridership,is_active
L001,M1,Métro ligne 1,MODE01,OP001,#FFCD00,1997,4.4,16,1160404,True
L002,M2,Métro ligne 2,MODE01,OP001,#003CA6,1940,20.2,26,983004,True
L003,M3,Métro ligne 3,MODE01,OP001,#837902,1978,6.4,28,1372339,True
L004,M3bis,Métro ligne 3bis,MODE01,OP001,#6EC4E8,1999,8.8,22,866950,True
L005,M4,Métro ligne 4,MODE01,OP001,#CF009E,1917,8.3,23,1348826,True
L006,M5,Métro ligne 5,MODE01,OP001,#FF7E2E,2007,17.2,16,912167,True
L007,M6,Métro ligne 6,MODE01,OP001,#6ECA97,1979,11.1,30,1075093,True
L008,M7,Métro ligne 7,MODE01,OP001,#FA9ABA,2010,7.6,30,376844,True
L009,M7bis,Métro ligne 7bis,MODE01,OP001,#6ECA97,1942,23.4,26,237258,True
L010,M8,Métro ligne 8,MODE01,OP001,#E19BDF,1912,23.8,13,109053,True
L011,M9,Métro ligne 9,MODE01,OP001,#B6BD00,2015,7.2,30,594267,True
L012,M10,Métro ligne 10,MODE01,OP001,#C9910D,1944,8.8,14,696095,True
L013,M11,Métro ligne 11,MODE01,OP001,#704B1C,1930,18.6,27,652863,True
L014,M12,Métro ligne 12,MODE01,OP001,#007852,1961,15.0,21,1492230,True
L015,M13,Métro ligne 13,MODE01,OP001,#6EC4E8,2024,12.7,10,732027,True
L016,M14,Métro ligne 14,MODE01,OP001,#62259D,1938,9.8,26,1487484,True
L017,RERA,RER ligne A,MODE02,OP001,#FFCD00,1985,57.0,38,504934,True
L018,RERB,RER ligne B,MODE02,OP002,#00814F,1974,86.1,39,635490,True
L019,RERC,RER ligne C,MODE02,OP002,#FFCD00,1993,99.2,27,906977,True
L020,RERD,RER ligne D,MODE02,OP002,#C04191,1981,115.5,29,424309,True
L021,RERE,RER ligne E,MODE02,OP002,#4B92DB,1970,86.2,38,965830,True
L022,T1,Tramway T1,MODE03,OP004,#2CFDBF,2003,9.7,28,63272,True
L023,T2,Tramway T2,MODE03,OP001,#2C6F83,2000,17.4,29,167240,True
L024,T3a,Tramway T3a,MODE03,OP004,#0F7366,1998,16.2,27,102507,True
L025,T3b,Tramway T3b,MODE03,OP001,#3EE816,2009,5.6,11,47210,True
L026,T4,Tramway T4,MODE03,OP004,#6B9BD8,2005,17.9,24,68800,True
L027,T5,Tramway T5,MODE03,OP003,#A0985A,2009,19.7,30,135112,True
L028,T6,Tramway T6,MODE03,OP004,#6F3F70,2017,16.7,24,129686,True
L029,T7,Tramway T7,MODE03,OP004,#447E5E,2005,8.2,22,71625,True
L030,T8,Tramway T8,MODE03,OP001,#B69EC3,2021,18.7,13,107909,True
L031,T9,Tramway T9,MODE03,OP004,#017F2A,2006,20.0,23,192641,True
L032,T10,Tramway T10,MODE03,OP001,#6DA93E,2021,16.1,27,33094,True
L033,T11,Tramway T11,MODE03,OP003,#AA0171,1992,15.2,27,87024,True
L034,T13,Tramway T13,MODE03,OP004,#50B7F8,2006,17.1,13,132982,True
L035,Bus20,Bus ligne 20,MODE04,OP001,#36A2EB,1967,9.4,36,45297,True
L036,Bus21,Bus ligne 21,MODE04,OP004,#36A2EB,2013,9.0,44,61866,True
L037,Bus26,Bus ligne 26,MODE04,OP006,#36A2EB,1991,9.0,22,20629,True
L038,Bus27,Bus ligne 27,MODE04,OP004,#36A2EB,2004,20.9,26,71226,True
L039,Bus29,Bus ligne 29,MODE04,OP001,#36A2EB,1956,21.5,16,40838,True
L040,Bus38,Bus ligne 38,MODE04,OP003,#36A2EB,1965,12.9,23,32834,True
L041,Bus42,Bus ligne 42,MODE04,OP001,#36A2EB,2005,7.6,32,61890,True
L042,Bus56,Bus ligne 56,MODE04,OP003,#36A2EB,1979,28.5,47,21308,True
L043,Bus62,Bus ligne 62,MODE04,OP003,#36A2EB,1998,18.4,41,63416,True
L044,Bus63,Bus ligne 63,MODE04,OP003,#36A2EB,1981,18.8,33,41230,True
L045,Bus69,Bus ligne 69,MODE04,OP004,#36A2EB,2007,20.9,40,57184,True
L046,Bus72,Bus ligne 72,MODE04,OP004,#36A2EB,1990,17.5,29,36200,True
L047,Bus80,Bus ligne 80,MODE04,OP004,#36A2EB,1979,15.5,44,45449,True
L048,Bus87,Bus ligne 87,MODE04,OP004,#36A2EB,1974,16.7,49,12053,True
L049,Bus91,Bus ligne 91,MODE04,OP004,#36A2EB,1998,25.7,28,39453,True
L050,Bus95,Bus ligne 95,MODE04,OP006,#36A2EB,2016,8.4,35,42338,True
L051,Bus96,Bus ligne 96,MODE04,OP003,#36A2EB,1961,17.6,44,41862,True
L052,Bus183,Bus ligne 183,MODE04,OP004,#36A2EB,1981,21.2,39,41946,True
L053,Bus258,Bus ligne 258,MODE04,OP003,#36A2EB,2011,25.2,16,54166,True
L054,Bus350,Bus ligne 350,MODE04,OP001,#36A2EB,1967,7.5,35,30009,True
L055,Bus351,Bus ligne 351,MODE04,OP001,#36A2EB,1982,5.8,31,73228,True
