survey_id,line_id,station_id,survey_date,aspect,rating,comment,respondent_age_group,respondent_commute_frequency
SV0001,L007,ST0244,2025-01-24,safety,2,Service was on time and clean.,65+,weekly
SV0002,L019,ST0079,2025-04-02,comfort,3,Elevator out of service again.,25-34,weekly
SV0003,L049,ST0136,2024-12-13,crowding,10,Too crowded during rush hour.,18-24,daily
SV0004,L030,ST0107,2024-12-18,cleanliness,3,Staff was helpful and professional.,45-54,daily
SV0005,L036,ST0209,2024-06-12,crowding,8,,55-64,daily
SV0006,L054,ST0135,2024-08-02,cleanliness,3,Very comfortable new rolling stock.,18-24,weekly
SV0007,L005,ST0001,2025-06-23,accessibility,4,Too crowded during rush hour.,65+,occasional
SV0008,L013,ST0123,2025-03-07,accessibility,3,Very comfortable new rolling stock.,25-34,weekly
SV0009,L017,ST0161,2024-09-02,accessibility,1,,55-64,first_time
SV0010,L027,ST0133,2024-07-19,punctuality,7,Service was on time and clean.,18-24,weekly
SV0011,L007,ST0190,2025-06-30,cleanliness,1,Very comfortable new rolling stock.,45-54,daily
SV0012,L024,ST0074,2024-07-23,crowding,9,Staff was helpful and professional.,25-34,daily
SV0013,L023,ST0015,2024-11-15,crowding,5,Needs more frequent service on weekends.,35-44,daily
SV0014,L019,ST0140,2025-01-10,punctuality,1,Service was on time and clean.,25-34,daily
SV0015,L030,ST0092,2025-07-28,comfort,6,,55-64,occasional
SV0016,L038,ST0052,2025-08-21,accessibility,9,Very comfortable new rolling stock.,25-34,occasional
SV0017,L046,ST0094,2025-03-19,cleanliness,3,Information displays were not working.,45-54,weekly
SV0018,L030,ST0181,2025-06-24,safety,4,Too crowded during rush hour.,65+,first_time
SV0019,L001,ST0112,2025-11-23,information,6,Elevator out of service again.,45-54,daily
SV0020,L046,ST0113,2024-05-16,information,2,Service was on time and clean.,35-44,occasional
SV0021,L023,ST0077,2025-03-29,information,10,Staff was helpful and professional.,65+,occasional
SV0022,L003,ST0013,2025-05-12,comfort,1,Too crowded during rush hour.,65+,first_time
SV0023,L049,ST0213,2024-06-24,cleanliness,10,Staff was helpful and professional.,25-34,occasional
SV0024,L021,ST0149,2024-01-26,accessibility,9,Service was on time and clean.,45-54,first_time
SV0025,L045,ST0098,2024-01-30,frequency,10,Service was on time and clean.,18-24,occasional
SV0026,L050,ST0091,2024-09-08,information,6,Elevator out of service again.,65+,first_time
SV0027,L046,ST0041,2025-01-02,punctuality,8,Staff was helpful and professional.,35-44,daily
SV0028,L006,ST0137,2024-10-31,information,5,Staff was helpful and professional.,18-24,weekly
SV0029,L023,ST0169,2024-03-30,crowding,6,,65+,occasional
SV0030,L016,ST0214,2024-08-22,cleanliness,6,Staff was helpful and professional.,35-44,first_time
SV0031,L027,ST0181,2025-10-11,frequency,9,Too crowded during rush hour.,55-64,first_time
SV0032,L009,ST0040,2025-01-07,frequency,4,Very comfortable new rolling stock.,55-64,weekly
SV0033,L035,ST0228,2025-10-27,comfort,3,Needs more frequent service on weekends.,55-64,daily
SV0034,L019,ST0168,2025-06-26,crowding,7,Too crowded during rush hour.,35-44,occasional
SV0035,L043,ST0050,2024-06-09,comfort,7,Needs more frequent service on weekends.,18-24,weekly
SV0036,L051,ST0197,2025-05-16,crowding,5,Too crowded during rush hour.,25-34,weekly
SV0037,L021,ST0183,2025-02-22,cleanliness,4,,65+,occasional
SV0038,L031,ST0227,2024-04-26,crowding,5,,35-44,occasional
SV0039,L019,ST0093,2025-10-26,punctuality,2,Staff was helpful and professional.,25-34,weekly
SV0040,L033,ST0125,2025-10-03,frequency,9,Needs more frequent service on weekends.,65+,first_time
SV0041,L035,ST0211,2025-02-14,comfort,10,Elevator out of service again.,35-44,daily
SV0042,L026,ST0247,2025-06-14,safety,7,Too crowded during rush hour.,65+,occasional
SV0043,L015,ST0118,2025-06-09,cleanliness,8,Staff was helpful and professional.,35-44,weekly
SV0044,L037,ST0103,2025-11-22,crowding,9,Information displays were not working.,18-24,occasional
SV0045,L017,ST0180,2024-12-04,cleanliness,5,Very comfortable new rolling stock.,65+,occasional
SV0046,L053,ST0212,2025-10-20,safety,4,,65+,weekly
SV0047,L055,ST0173,2024-12-09,crowding,7,Elevator out of service again.,65+,occasional
SV0048,L039,ST0182,2024-02-24,cleanliness,7,Needs more frequent service on weekends.,35-44,first_time
SV0049,L023,ST0156,2025-04-28,safety,1,Service was on time and clean.,45-54,daily
SV0050,L039,ST0155,2024-05-08,punctuality,6,Elevator out of service again.,65+,first_time
SV0051,L017,ST0127,2024-05-12,accessibility,1,Needs more frequent service on weekends.,25-34,occasional
SV0052,L010,ST0183,2024-05-08,safety,2,,35-44,occasional
SV0053,L030,ST0171,2024-11-27,information,1,Too crowded during rush hour.,25-34,daily
SV0054,L053,ST0062,2025-08-19,punctuality,7,Information displays were not working.,55-64,first_time
SV0055,L042,ST0178,2024-02-18,safety,3,Information displays were not working.,25-34,first_time
SV0056,L025,ST0241,2025-09-15,comfort,3,Elevator out of service again.,45-54,occasional
SV0057,L037,ST0219,2024-06-07,punctuality,8,Too crowded during rush hour.,25-34,weekly
SV0058,L011,ST0169,2025-12-12,crowding,9,Elevator out of service again.,35-44,first_time
SV0059,L013,ST0090,2025-09-20,crowding,1,Needs more frequent service on weekends.,35-44,weekly
SV0060,L050,ST0030,2024-09-12,punctuality,10,Elevator out of service again.,25-34,daily
SV0061,L007,ST0098,2024-11-17,cleanliness,4,Information displays were not working.,25-34,daily
SV0062,L050,ST0194,2025-05-21,crowding,1,Needs more frequent service on weekends.,45-54,weekly
SV0063,L009,ST0170,2024-11-27,accessibility,1,Staff was helpful and professional.,45-54,first_time
SV0064,L002,ST0022,2024-11-04,cleanliness,2,Information displays were not working.,45-54,occasional
SV0065,L008,ST0119,2024-11-24,comfort,1,Service was on time and clean.,25-34,occasional
SV0066,L007,ST0241,2025-08-14,information,8,Staff was helpful and professional.,35-44,occasional
