stop_event_id,trip_id,station_id,scheduled_arrival,actual_arrival,delay_seconds,passenger_boarding,passenger_alighting,platform
SE00001,TR01233,ST0200,18:28:00,23:31:00,0,15,62,Quai Nord
SE00002,TR00118,ST0147,07:22:00,19:58:00,0,113,120,Quai Sud
SE00003,TR01372,ST0195,15:22:00,22:47:00,300,45,141,Quai Nord
SE00004,TR00642,ST0062,06:04:00,05:45:00,0,15,167,
SE00005,TR00786,ST0098,07:31:00,19:36:00,0,12,73,B
SE00006,TR01060,ST0244,09:47:00,11:47:00,180,172,27,Quai Nord
SE00007,TR01077,ST0230,11:22:00,21:50:00,0,46,152,B
SE00008,TR00162,ST0049,19:44:00,09:53:00,60,122,169,
SE00009,TR00771,ST0120,19:16:00,05:18:00,0,35,93,1
SE00010,TR01216,ST0187,08:18:00,23:27:00,0,199,138,2
SE00011,TR00926,ST0048,16:51:00,20:57:00,300,186,9,Quai Sud
SE00012,TR00544,ST0079,16:15:00,19:55:00,180,124,189,2
SE00013,TR00431,ST0049,05:00:00,20:01:00,300,29,60,Quai Nord
SE00014,TR00057,ST0042,06:17:00,22:32:00,300,105,190,B
SE00015,TR00698,ST0177,19:58:00,14:11:00,60,143,172,A
SE00016,TR00674,ST0163,14:31:00,19:03:00,120,62,127,2
SE00017,TR00889,ST0060,20:35:00,22:04:00,120,131,12,A
SE00018,TR01263,ST0028,13:26:00,10:05:00,0,139,38,1
SE00019,TR00298,ST0040,07:44:00,18:04:00,0,106,60,1
SE00020,TR00799,ST0009,16:12:00,23:17:00,120,23,196,
SE00021,TR00334,ST0031,12:02:00,13:58:00,120,77,197,
SE00022,TR00940,ST0096,16:14:00,14:12:00,60,146,150,Quai Nord
SE00023,TR00613,ST0065,18:09:00,08:38:00,0,14,107,Quai Sud
SE00024,TR01185,ST0196,21:53:00,05:21:00,120,123,107,
SE00025,TR00662,ST0152,05:09:00,12:43:00,0,181,60,B
SE00026,TR00501,ST0193,08:09:00,19:19:00,0,44,164,B
SE00027,TR01011,ST0165,11:59:00,21:02:00,300,192,190,Quai Sud
SE00028,TR01091,ST0046,20:22:00,06:39:00,300,196,139,Quai Sud
SE00029,TR01446,ST0038,21:49:00,20:36:00,300,162,75,A
SE00030,TR01202,ST0179,18:33:00,23:57:00,0,75,113,1
SE00031,TR01393,ST0151,09:36:00,08:44:00,0,189,83,Quai Sud
SE00032,TR00750,ST0100,08:57:00,21:35:00,0,106,180,Quai Sud
SE00033,TR00518,ST0074,23:15:00,18:56:00,180,29,82,1
SE00034,TR00076,ST0118,17:15:00,17:24:00,180,160,147,Quai Nord
SE00035,TR01336,ST0103,20:08:00,14:48:00,120,200,23,B
SE00036,TR01444,ST0210,08:15:00,14:16:00,0,11,144,
SE00037,TR00320,ST0001,10:20:00,19:47:00,120,187,61,1
SE00038,TR01486,ST0050,22:24:00,09:27:00,60,164,165,1
SE00039,TR00197,ST0026,21:59:00,21:12:00,0,131,55,
SE00040,TR00439,ST0138,16:36:00,13:28:00,0,89,52,Quai Sud
SE00041,TR01256,ST0107,10:07:00,13:20:00,120,42,161,Quai Nord
SE00042,TR00300,ST0212,19:35:00,18:58:00,0,146,153,2
SE00043,TR00276,ST0216,23:47:00,10:27:00,300,4,167,A
SE00044,TR00451,ST0165,08:22:00,08:23:00,120,90,25,B
SE00045,TR01409,ST0091,23:05:00,10:55:00,300,194,185,Quai Nord
SE00046,TR00436,ST0063,14:15:00,11:09:00,600,56,99,
SE00047,TR00654,ST0225,06:56:00,05:39:00,0,183,176,
SE00048,TR00209,ST0071,10:33:00,09:36:00,600,50,44,
SE00049,TR00353,ST0010,10:56:00,12:01:00,0,194,92,B
SE00050,TR00234,ST0024,07:45:00,22:14:00,0,148,183,Quai Nord
SE00051,TR00126,ST0211,08:06:00,09:13:00,300,106,117,B
SE00052,TR01094,ST0128,14:46:00,16:02:00,60,190,14,A
SE00053,TR00625,ST0223,19:34:00,06:27:00,120,96,33,1
SE00054,TR00242,ST0130,11:35:00,23:26:00,120,65,118,2
SE00055,TR00903,ST0169,22:06:00,20:59:00,0,70,100,2
SE00056,TR00023,ST0060,15:21:00,17:58:00,0,7,16,Quai Nord
SE00057,TR00371,ST0139,12:18:00,19:34:00,120,24,84,1
SE00058,TR01095,ST0022,19:13:00,17:24:00,120,138,95,Quai Sud
SE00059,TR01080,ST0062,13:35:00,12:06:00,120,117,67,1
SE00060,TR01092,ST0197,21:49:00,12:10:00,300,43,167,
SE00061,TR01299,ST0007,13:40:00,20:57:00,60,120,152,
SE00062,TR00269,ST0007,05:02:00,05:44:00,0,83,117,B
SE00063,TR00563,ST0052,19:34:00,15:46:00,600,165,9,2
SE00064,TR00308,ST0163,11:20:00,07:25:00,180,26,143,1
SE00065,TR00429,ST0211,17:08:00,22:35:00,60,20,163,1
SE00066,TR01126,ST0075,10:33:00,10:50:00,60,61,11,1
SE00067,TR00481,ST0070,22:30:00,08:31:00,60,63,58,A
SE00068,TR01288,ST0058,10:38:00,06:07:00,180,98,98,2
SE00069,TR01108,ST0205,13:06:00,20:50:00,0,147,125,2
SE00070,TR00416,ST0083,16:39:00,11:04:00,600,41,128,Quai Sud
SE00071,TR01383,ST0070,16:56:00,14:04:00,0,147,46,B
SE00072,TR00899,ST0004,06:13:00,22:16:00,0,37,106,2
SE00073,TR00191,ST0158,10:11:00,15:49:00,300,67,28,Quai Sud
SE00074,TR00334,ST0050,07:04:00,14:08:00,300,108,153,B
SE00075,TR00390,ST0213,15:52:00,17:38:00,180,196,102,
SE00076,TR01217,ST0175,14:52:00,14:53:00,600,134,160,Quai Sud
SE00077,TR00945,ST0046,18:06:00,10:15:00,600,192,71,A
SE00078,TR00758,ST0076,21:16:00,19:55:00,300,151,180,A
SE00079,TR00409,ST0087,12:43:00,22:41:00,180,143,188,1
