traffic_id,line_id,traffic_date,total_ridership,peak_hour_ridership,off_peak_ridership,day_type
TD0001,L049,2024-10-12,38504,8041,23363,weekday
TD0002,L054,2024-07-03,34489,8670,14629,weekday
TD0003,L018,2025-05-10,698739,156064,267625,weekday
TD0004,L006,2025-09-03,730398,247626,367077,weekday
TD0005,L044,2025-02-27,53049,7390,24410,weekday
TD0006,L013,2024-04-15,671729,195245,368420,saturday
TD0007,L036,2024-09-07,53976,17016,28731,sunday
TD0008,L027,2024-06-20,147706,36546,65875,sunday
TD0009,L027,2024-04-20,135422,24431,67768,weekday
TD0010,L028,2025-10-03,143342,26793,73271,weekday
TD0011,L007,2025-10-20,1149376,225187,528639,sunday
TD0012,L007,2024-12-08,1236541,234036,526481,weekday
TD0013,L032,2025-05-05,23322,7192,18227,weekday
TD0014,L044,2025-04-23,41330,7344,22304,sunday
TD0015,L040,2024-06-21,23499,9415,16120,weekday
TD0016,L028,2024-10-05,144924,28420,63595,saturday
TD0017,L011,2025-07-14,692152,168415,277633,saturday
TD0018,L021,2025-06-28,772070,234928,544361,weekday
TD0019,L031,2025-10-22,220718,32183,91945,sunday
TD0020,L011,2024-02-11,585214,151639,305832,weekday
TD0021,L014,2024-11-02,1055311,440834,845679,saturday
TD0022,L045,2025-04-24,50112,12736,28357,saturday
TD0023,L002,2025-03-23,895061,203585,453124,weekday
TD0024,L036,2024-11-08,46125,15098,28679,weekday
TD0025,L005,2025-02-21,991927,362517,789936,weekday
TD0026,L037,2025-11-11,14520,5273,11627,weekday
TD0027,L039,2025-05-09,29661,11934,18750,saturday
TD0028,L040,2025-07-20,30991,7940,19416,weekday
TD0029,L046,2025-12-02,33430,10809,14491,sunday
TD0030,L001,2024-03-12,1043392,272619,496755,weekday
TD0031,L038,2025-05-12,50937,12588,42511,weekday
TD0032,L054,2024-07-08,25958,6559,16886,saturday
TD0033,L037,2024-09-09,14440,4475,12068,weekday
TD0034,L005,2024-09-02,1125858,230662,681345,saturday
TD0035,L024,2025-06-12,75371,19319,52821,weekday
TD0036,L020,2025-11-18,469405,90384,240785,saturday
TD0037,L050,2024-02-07,38184,8183,24211,weekday
TD0038,L009,2025-10-02,234144,46227,135364,saturday
TD0039,L014,2024-08-28,1260351,316221,616884,weekday
TD0040,L017,2025-04-04,602691,117367,262425,saturday
TD0041,L024,2025-08-09,90812,26365,51068,sunday
TD0042,L024,2024-10-05,97162,16525,58722,saturday
TD0043,L042,2025-09-18,19569,5552,11388,weekday
TD0044,L028,2024-03-24,143800,35839,70775,sunday
TD0045,L051,2024-03-02,34504,12263,17653,weekday
TD0046,L026,2025-11-21,68454,15127,36781,weekday
TD0047,L030,2024-05-07,90087,29956,47751,weekday
TD0048,L021,2025-01-16,743291,165404,414350,weekday
TD0049,L002,2025-06-18,758535,286068,471753,weekday
TD0050,L047,2025-04-25,44891,8374,18313,saturday
TD0051,L037,2024-05-25,18364,5929,11732,weekday
TD0052,L043,2025-07-24,54731,18289,37940,weekday
TD0053,L055,2024-11-30,54979,19130,30469,weekday
TD0054,L023,2025-11-21,124562,36281,77028,weekday
TD0055,L053,2024-11-13,69430,8427,23504,saturday
TD0056,L053,2024-05-23,67242,14317,22970,sunday
TD0057,L010,2024-03-26,138963,19305,48519,saturday
TD0058,L028,2024-07-24,149902,29178,64808,weekday
TD0059,L007,2025-07-19,1344723,235261,575227,weekday
TD0060,L006,2025-05-20,1126939,273072,394477,sunday
TD0061,L009,2025-11-20,237236,59117,97487,weekday
TD0062,L045,2024-06-05,45086,13222,24423,saturday
TD0063,L024,2024-05-20,105056,23414,59250,saturday
TD0064,L007,2025-10-08,884691,212159,499269,sunday
TD0065,L005,2025-12-07,1577039,299750,798241,weekday
TD0066,L049,2024-06-11,33691,10157,21206,sunday
TD0067,L006,2025-02-27,781211,246318,474936,weekday
TD0068,L007,2025-06-25,1355263,237606,478732,weekday
TD0069,L007,2025-03-04,896380,162618,446734,weekday
TD0070,L017,2024-03-29,398384,131064,229508,sunday
TD0071,L002,2025-12-07,1206091,200828,460081,weekday
TD0072,L047,2025-07-25,39162,10545,21011,weekday
TD0073,L028,2025-10-02,132707,27256,75602,sunday
TD0074,L028,2025-04-25,104015,25552,53075,sunday
TD0075,L003,2024-03-26,1235450,282539,569529,weekday
TD0076,L042,2024-05-25,21441,4416,10827,saturday
TD0077,L023,2024-08-03,203516,30375,99415,saturday
TD0078,L004,2024-07-21,785824,250742,489054,weekday
TD0079,L001,2024-05-30,1223527,295261,556221,weekday
TD0080,L011,2024-09-27,698721,95221,245553,weekday
TD0081,L032,2024-06-21,23873,6431,16817,weekday
TD0082,L012,2025-08-25,874024,104960,337972,saturday
TD0083,L011,2024-11-30,596522,121705,333349,weekday
TD0084,L016,2024-01-01,1468357,377755,694589,weekday
