operator_id,operator_name,full_name,operator_type,headquarters_city,founded_year,employee_count,website
OP001,RATP,Régie Autonome des Transports Parisiens,public,Paris,1960,12108,https://www.ratp.fr
OP002,SNCF Transilien,SNCF Voyageurs — Transilien,public,Paris,1993,38102,https://www.sncf-transilien.fr
OP003,Keolis,Keolis SA,private,Paris,1938,13320,https://www.keolis.fr
OP004,Transdev,Transdev Group,private,Issy-les-Moulineaux,1992,27075,https://www.transdev.fr
OP005,RATP Dev,RATP Développement,private,Paris,1996,17581,https://www.ratp-dev.fr
OP006,Optile,Optile Consortium,consortium,Paris,1968,16267,https://www.optile.fr
OP007,Île-de-France Mobilités,Syndicat des transports d'Île-de-France,authority,Paris,1981,32856,https://www.île-de-france-mobilites.fr
OP008,Lacroix & Savac,Groupe Lacroix-Savac,private,Bussy-Saint-Georges,1945,27454,https://www.lacroix-&-savac.fr
OP009,Cars du Val de Marne,RATP Dev Val de Marne,private,Créteil,1967,40547,https://www.cars-du-val-de-marne.fr
OP010,Stivo,Société de Transport Intercommunal du Val-d'Oise,private,Cergy,1927,20485,https://www.stivo.fr
OP011,Albatrans,Albatrans SARL,private,Mantes-la-Jolie,1969,21842,https://www.albatrans.fr
OP012,Sqybus,Réseau Sqybus,public,Saint-Quentin-en-Yvelines,1966,5093,https://www.sqybus.fr
OP013,Phebus,Réseau Phébus,private,Versailles,1993,13725,https://www.phebus.fr
OP014,TRA,Transports Rapides Automobiles,private,Boulogne,1988,30905,https://www.tra.fr
OP015,Noctilien,Service RATP-SNCF Nuit,public,Paris,1990,42963,https://www.noctilien.fr
OP016,Orlyval,RATP Orlyval,public,Orly,1918,35039,https://www.orlyval.fr
OP017,STILL,Groupe Lacroix Seine-et-Marne,private,Melun,1927,27194,https://www.still.fr
OP018,CSO,Courriers de Seine-et-Oise,private,Poissy,1907,23101,https://www.cso.fr
OP019,Filéo,Service Aéroport CDG,private,Roissy,1980,27500,https://www.fileo.fr
OP020,CDG Val,Aéroports de Paris VAL,public,Roissy,1959,8338,https://www.cdg-val.fr
