trip_id,line_id,vehicle_id,direction,trip_date,departure_time,arrival_time,trip_duration_min,status
TR00001,L030,VH0046,inbound,2024-11-19,21:49:00,20:46:00,27,in_progress
TR00002,L009,VH0030,inbound,2025-11-02,21:33:00,15:53:00,58,in_progress
TR00003,L039,VH0101,outbound,2025-08-20,07:13:00,13:06:00,22,delayed
TR00004,L007,VH0040,inbound,2025-08-06,21:20:00,15:08:00,67,completed
TR00005,L016,VH0068,inbound,2025-04-03,14:22:00,11:48:00,70,completed
TR00006,L041,VH0014,outbound,2025-11-06,17:27:00,19:45:00,72,cancelled
TR00007,L021,VH0067,outbound,2024-10-17,12:30:00,13:50:00,46,in_progress
TR00008,L055,VH0068,inbound,2024-06-11,16:17:00,18:20:00,34,completed
TR00009,L036,VH0046,inbound,2024-06-26,10:53:00,23:53:00,30,delayed
TR00010,L025,VH0104,outbound,2025-03-25,23:14:00,15:51:00,16,completed
TR00011,L006,VH0095,inbound,2025-10-07,09:40:00,20:55:00,68,completed
TR00012,L044,VH0015,outbound,2024-09-20,17:42:00,20:56:00,49,delayed
TR00013,L022,VH0007,outbound,2024-09-22,16:46:00,23:16:00,51,completed
TR00014,L012,VH0025,outbound,2024-06-05,07:41:00,12:15:00,54,in_progress
TR00015,L029,VH0103,inbound,2024-07-29,20:47:00,09:18:00,19,completed
TR00016,L001,VH0003,outbound,2024-08-24,21:46:00,12:08:00,30,cancelled
TR00017,L023,VH0071,outbound,2025-03-21,16:07:00,13:35:00,68,completed
TR00018,L048,VH0037,inbound,2024-10-16,23:03:00,17:50:00,32,completed
TR00019,L009,VH0023,outbound,2025-02-11,16:49:00,22:30:00,86,delayed
TR00020,L001,VH0087,outbound,2025-07-15,17:17:00,18:20:00,20,in_progress
TR00021,L038,VH0014,outbound,2024-12-17,15:56:00,11:57:00,51,in_progress
TR00022,L024,VH0043,outbound,2025-08-18,09:08:00,16:35:00,43,completed
TR00023,L028,VH0095,inbound,2025-10-01,19:46:00,10:23:00,53,completed
TR00024,L002,VH0109,outbound,2024-08-11,10:11:00,20:42:00,15,completed
TR00025,L032,VH0006,outbound,2024-08-09,11:02:00,10:18:00,86,delayed
TR00026,L033,VH0056,outbound,2024-01-29,18:59:00,09:14:00,64,completed
TR00027,L044,VH0014,inbound,2024-09-03,09:58:00,17:16:00,78,cancelled
TR00028,L052,VH0029,outbound,2025-06-06,13:31:00,20:52:00,23,in_progress
TR00029,L008,VH0028,outbound,2024-04-09,23:08:00,14:18:00,35,delayed
TR00030,L053,VH0105,outbound,2024-06-27,05:35:00,05:42:00,74,delayed
TR00031,L047,VH0100,inbound,2024-05-31,22:51:00,06:13:00,37,cancelled
TR00032,L021,VH0111,outbound,2025-09-16,13:38:00,06:23:00,90,cancelled
TR00033,L029,VH0049,outbound,2025-08-21,15:32:00,13:59:00,65,completed
TR00034,L040,VH0047,inbound,2024-03-02,08:32:00,12:57:00,90,completed
TR00035,L022,VH0074,inbound,2025-03-18,06:43:00,13:10:00,77,delayed
TR00036,L039,VH0042,inbound,2024-11-24,06:44:00,07:11:00,60,in_progress
TR00037,L033,VH0046,inbound,2024-01-15,23:04:00,17:00:00,76,completed
TR00038,L040,VH0001,outbound,2024-07-12,20:17:00,11:47:00,76,completed
TR00039,L015,VH0106,inbound,2025-07-23,21:15:00,13:44:00,21,in_progress
TR00040,L054,VH0058,inbound,2024-05-20,09:29:00,19:54:00,46,completed
TR00041,L022,VH0113,outbound,2024-09-24,06:38:00,19:42:00,34,completed
TR00042,L054,VH0019,inbound,2025-05-22,23:53:00,20:45:00,68,completed
TR00043,L019,VH0107,outbound,2024-05-23,06:37:00,06:46:00,59,delayed
TR00044,L033,VH0035,outbound,2025-05-30,16:42:00,22:13:00,50,completed
TR00045,L049,VH0042,inbound,2025-01-10,16:24:00,18:27:00,46,completed
TR00046,L025,VH0042,inbound,2024-12-31,19:52:00,23:39:00,56,in_progress
TR00047,L018,VH0033,inbound,2025-11-26,08:54:00,09:05:00,46,cancelled
TR00048,L015,VH0094,inbound,2025-07-04,13:08:00,11:00:00,22,delayed
TR00049,L015,VH0110,outbound,2025-06-15,16:21:00,05:02:00,16,delayed
TR00050,L017,VH0079,inbound,2025-04-24,09:56:00,12:26:00,16,in_progress
TR00051,L049,VH0072,outbound,2025-11-21,11:38:00,11:09:00,72,completed
