assignment_id,course_id,faculty_id,semester,year,role
ASN00001,CRS00018,FAC00010,Fall,2023,co_instructor
ASN00002,CRS00051,FAC00051,Summer,2021,grader
ASN00003,CRS00051,FAC00038,Fall,2021,ta
ASN00004,CRS00010,FAC00015,Fall,2022,grader
ASN00005,CRS00016,FAC00047,Summer,2024,co_instructor
ASN00006,CRS00027,FAC00029,Summer,2021,ta
ASN00007,CRS00042,FAC00001,Summer,2020,ta
ASN00008,CRS00068,FAC00007,Spring,2024,co_instructor
ASN00009,CRS00057,FAC00020,Summer,2020,grader
ASN00010,CRS00020,FAC00005,Spring,2022,instructor
ASN00011,CRS00049,FAC00054,Fall,2022,grader
ASN00012,CRS00055,FAC00038,Summer,2021,grader
ASN00013,CRS00038,FAC00015,Fall,2024,instructor
ASN00014,CRS00078,FAC00039,Fall,2022,grader
ASN00015,CRS00056,FAC00027,Summer,2020,instructor
ASN00016,CRS00036,FAC00054,Spring,2022,ta
ASN00017,CRS00054,FAC00043,Spring,2022,instructor
ASN00018,CRS00002,FAC00007,Fall,2023,grader
ASN00019,CRS00029,FAC00038,Summer,2023,ta
ASN00020,CRS00014,FAC00050,Summer,2023,grader
ASN00021,CRS00078,FAC00034,Fall,2023,instructor
ASN00022,CRS00076,FAC00054,Summer,2020,instructor
ASN00023,CRS00016,FAC00049,Spring,2021,grader
ASN00024,CRS00051,FAC00046,Spring,2020,grader
ASN00025,CRS00059,FAC00037,Fall,2024,grader
ASN00026,CRS00056,FAC00043,Fall,2020,co_instructor
ASN00027,CRS00004,FAC00041,Fall,2022,ta
ASN00028,CRS00053,FAC00052,Summer,2020,grader
ASN00029,CRS00033,FAC00023,Spring,2022,co_instructor
ASN00030,CRS00036,FAC00029,Spring,2020,grader
ASN00031,CRS00034,FAC00050,Fall,2021,ta
ASN00032,CRS00052,FAC00049,Fall,2022,grader
ASN00033,CRS00012,FAC00022,Summer,2022,co_instructor
ASN00034,CRS00041,FAC00054,Fall,2022,instructor
ASN00035,CRS00052,FAC00021,Spring,2024,co_instructor
ASN00036,CRS00049,FAC00013,Summer,2022,grader
ASN00037,CRS00045,FAC00022,Spring,2023,co_instructor
ASN00038,CRS00022,FAC00021,Fall,2020,co_instructor
ASN00039,CRS00075,FAC00020,Summer,2024,ta
ASN00040,CRS00072,FAC00035,Spring,2021,instructor
ASN00041,CRS00026,FAC00006,Summer,2020,grader
ASN00042,CRS00034,FAC00010,Summer,2022,ta
ASN00043,CRS00051,FAC00009,Fall,2023,ta
ASN00044,CRS00079,FAC00037,Spring,2020,co_instructor
ASN00045,CRS00057,FAC00053,Fall,2020,co_instructor
ASN00046,CRS00036,FAC00002,Fall,2023,co_instructor
ASN00047,CRS00032,FAC00057,Spring,2021,co_instructor
ASN00048,CRS00019,FAC00001,Fall,2022,instructor
ASN00049,CRS00079,FAC00031,Spring,2023,co_instructor
ASN00050,CRS00053,FAC00012,Summer,2024,grader
ASN00051,CRS00074,FAC00057,Summer,2023,ta
ASN00052,CRS00047,FAC00052,Spring,2022,ta
ASN00053,CRS00047,FAC00058,Spring,2021,ta
ASN00054,CRS00010,FAC00045,Spring,2021,co_instructor
ASN00055,CRS00069,FAC00038,Fall,2021,grader
ASN00056,CRS00069,FAC00021,Summer,2020,co_instructor
ASN00057,CRS00045,FAC00046,Fall,2024,grader
ASN00058,CRS00035,FAC00037,Spring,2020,grader
ASN00059,CRS00064,FAC00038,Fall,2023,co_instructor
ASN00060,CRS00003,FAC00036,Summer,2023,instructor
ASN00061,CRS00045,FAC00031,Fall,2021,ta
ASN00062,CRS00009,FAC00047,Summer,2022,ta
ASN00063,CRS00004,FAC00046,Spring,2024,grader
ASN00064,CRS00018,FAC00026,Summer,2021,grader
ASN00065,CRS00040,FAC00035,Spring,2022,co_instructor
ASN00066,CRS00073,FAC00052,Spring,2024,co_instructor
ASN00067,CRS00070,FAC00044,Spring,2024,instructor
ASN00068,CRS00079,FAC00004,Summer,2022,instructor
ASN00069,CRS00010,FAC00040,Summer,2020,grader
ASN00070,CRS00021,FAC00047,Fall,2021,co_instructor
ASN00071,CRS00024,FAC00002,Summer,2023,instructor
ASN00072,CRS00043,FAC00006,Spring,2020,grader
ASN00073,CRS00053,FAC00025,Fall,2023,ta
ASN00074,CRS00024,FAC00007,Spring,2022,co_instructor
ASN00075,CRS00056,FAC00057,Spring,2022,instructor
ASN00076,CRS00024,FAC00017,Fall,2023,co_instructor
ASN00077,CRS00045,FAC00042,Spring,2020,grader
ASN00078,CRS00013,FAC00034,Fall,2022,instructor
ASN00079,CRS00072,FAC00004,Fall,2022,co_instructor
ASN00080,CRS00001,FAC00034,Fall,2020,ta
ASN00081,CRS00050,FAC00020,Summer,2020,ta
ASN00082,CRS00009,FAC00012,Summer,2021,grader
ASN00083,CRS00024,FAC00035,Spring,2021,instructor
ASN00084,CRS00020,FAC00039,Summer,2022,co_instructor
ASN00085,CRS00057,FAC00046,Summer,2021,co_instructor
ASN00086,CRS00057,FAC00002,Fall,2024,instructor
ASN00087,CRS00040,FAC00060,Fall,2022,ta
ASN00088,CRS00024,FAC00038,Fall,2024,instructor
ASN00089,CRS00064,FAC00013,Fall,2024,ta
ASN00090,CRS00059,FAC00060,Spring,2024,grader
ASN00091,CRS00015,FAC00043,Fall,2024,ta
ASN00092,CRS00032,FAC00024,Fall,2021,grader
ASN00093,CRS00025,FAC00051,Fall,2023,ta
ASN00094,CRS00008,FAC00059,Summer,2023,instructor
ASN00095,CRS00067,FAC00006,Summer,2022,grader
ASN00096,CRS00070,FAC00042,Spring,2021,ta
ASN00097,CRS00018,FAC00029,Spring,2021,grader
ASN00098,CRS00052,FAC00028,Fall,2023,grader
ASN00099,CRS00004,FAC00032,Spring,2020,grader
ASN00100,CRS00079,FAC00025,Spring,2022,ta
ASN00101,CRS00008,FAC00034,Fall,2020,instructor
ASN00102,CRS00040,FAC00058,Summer,2024,co_instructor
ASN00103,CRS00041,FAC00048,Summer,2020,instructor
ASN00104,CRS00007,FAC00020,Fall,2023,ta
ASN00105,CRS00069,FAC00004,Summer,2023,co_instructor
ASN00106,CRS00066,FAC00024,Fall,2020,instructor
ASN00107,CRS00059,FAC00012,Summer,2021,ta
ASN00108,CRS00010,FAC00046,Spring,2021,co_instructor
ASN00109,CRS00074,FAC00041,Fall,2024,instructor
ASN00110,CRS00049,FAC00014,Spring,2020,instructor
ASN00111,CRS00031,FAC00043,Fall,2022,grader
ASN00112,CRS00030,FAC00024,Fall,2023,co_instructor
ASN00113,CRS00019,FAC00039,Summer,2021,ta
ASN00114,CRS00055,FAC00044,Summer,2024,ta
ASN00115,CRS00027,FAC00057,Spring,2022,instructor
ASN00116,CRS00054,FAC00053,Spring,2023,ta
ASN00117,CRS00025,FAC00053,Spring,2023,instructor
ASN00118,CRS00051,FAC00003,Fall,2023,co_instructor
ASN00119,CRS00010,FAC00041,Fall,2020,co_instructor
ASN00120,CRS00063,FAC00005,Summer,2021,ta
