faculty_id,department_id,role,start_date,is_primary
FAC00003,DEPT003,Associate,2018-01-01,false
FAC00032,DEPT005,Associate,2003-02-05,true
FAC00003,DEPT001,Adjunct,2010-05-21,false
FAC00024,DEPT006,Professor,1999-09-10,true
FAC00050,DEPT009,Associate,2004-06-20,true
FAC00022,DEPT009,Adjunct,2018-10-24,true
FAC00057,DEPT009,Emeritus,2022-06-22,false
FAC00013,DEPT007,Professor,2015-05-29,false
FAC00038,DEPT009,Adjunct,2019-03-03,true
FAC00003,DEPT005,Adjunct,1995-10-21,true
FAC00038,DEPT002,Visiting,2013-09-19,true
FAC00059,DEPT010,Emeritus,2005-05-11,true
FAC00054,DEPT010,Associate,2015-02-25,true
FAC00020,DEPT001,Associate,2020-12-30,true
FAC00026,DEPT005,Professor,2018-10-22,true
FAC00003,DEPT004,Visiting,2005-09-20,true
FAC00001,DEPT007,Professor,1998-05-31,true
FAC00035,DEPT009,Visiting,1995-09-25,false
FAC00056,DEPT005,Emeritus,1997-04-18,true
FAC00038,DEPT004,Emeritus,2019-10-11,true
FAC00050,DEPT002,Associate,2012-06-13,false
FAC00047,DEPT006,Associate,2019-06-14,false
FAC00013,DEPT001,Visiting,1998-07-29,true
FAC00042,DEPT004,Visiting,1995-12-05,true
FAC00009,DEPT005,Associate,2008-02-11,false
FAC00017,DEPT007,Associate,2014-02-16,true
FAC00047,DEPT003,Adjunct,1999-05-19,true
FAC00020,DEPT009,Emeritus,2023-08-31,true
FAC00005,DEPT003,Professor,1995-02-24,true
FAC00005,DEPT005,Associate,2000-02-01,true
FAC00022,DEPT002,Emeritus,2018-12-24,true
FAC00033,DEPT002,Visiting,2022-07-23,true
FAC00051,DEPT002,Adjunct,1999-02-16,true
FAC00012,DEPT007,Associate,2019-06-18,true
FAC00047,DEPT001,Emeritus,1998-11-16,true
FAC00011,DEPT003,Adjunct,2002-03-12,false
FAC00053,DEPT009,Associate,2016-06-21,false
FAC00023,DEPT001,Adjunct,2012-06-17,true
FAC00007,DEPT009,Visiting,2004-07-11,true
FAC00013,DEPT010,Visiting,2021-04-20,false
FAC00045,DEPT002,Associate,2017-03-05,false
FAC00050,DEPT008,Visiting,2009-06-15,false
FAC00024,DEPT004,Professor,1996-08-19,true
FAC00013,DEPT001,Emeritus,2010-12-11,true
FAC00043,DEPT006,Adjunct,2013-08-22,false
FAC00054,DEPT001,Adjunct,2015-10-16,true
FAC00009,DEPT002,Emeritus,2018-05-08,false
FAC00050,DEPT002,Emeritus,2001-02-02,true
FAC00032,DEPT009,Emeritus,2010-04-14,true
FAC00040,DEPT001,Adjunct,2006-01-14,true
FAC00035,DEPT007,Adjunct,1996-09-29,true
FAC00004,DEPT005,Associate,2006-08-02,true
FAC00010,DEPT005,Adjunct,2013-06-25,true
FAC00034,DEPT006,Professor,2017-05-08,true
FAC00048,DEPT005,Visiting,1996-01-08,true
FAC00019,DEPT006,Associate,1999-03-05,true
FAC00060,DEPT009,Emeritus,2021-11-22,true
FAC00024,DEPT002,Professor,2006-11-07,true
FAC00021,DEPT002,Associate,2020-11-08,true
FAC00038,DEPT002,Associate,1997-03-15,true
FAC00020,DEPT009,Emeritus,1998-07-29,false
FAC00036,DEPT010,Emeritus,2008-05-01,false
FAC00043,DEPT005,Professor,2013-02-08,true
FAC00020,DEPT007,Professor,2009-12-13,true
FAC00048,DEPT001,Associate,1998-01-31,true
FAC00038,DEPT001,Professor,2016-05-24,true
FAC00031,DEPT006,Visiting,2019-04-24,true
FAC00017,DEPT003,Emeritus,2020-03-04,true
FAC00006,DEPT006,Associate,2003-04-22,false
FAC00059,DEPT010,Professor,2023-04-19,true
FAC00031,DEPT004,Associate,2002-08-06,false
FAC00053,DEPT009,Associate,2013-04-19,true
FAC00044,DEPT009,Adjunct,2020-11-13,false
FAC00050,DEPT004,Visiting,2019-07-25,true
FAC00004,DEPT007,Associate,2022-07-05,false
FAC00025,DEPT004,Emeritus,2008-02-17,true
FAC00009,DEPT007,Emeritus,2013-06-17,false
FAC00019,DEPT005,Associate,2022-08-25,true
FAC00046,DEPT007,Adjunct,2022-02-24,true
FAC00001,DEPT002,Visiting,2021-07-01,true
