enrollment_id,student_id,course_id,semester,year,grade,status
ENR000001,STU00275,CRS00024,Spring,2022,B,in_progress
ENR000002,STU00059,CRS00034,Summer,2023,W,withdrawn
ENR000003,STU00199,CRS00079,Summer,2023,A-,withdrawn
ENR000004,STU00181,CRS00059,Fall,2024,W,withdrawn
ENR000005,STU00044,CRS00018,Fall,2022,B,withdrawn
ENR000006,STU00060,CRS00024,Summer,2022,B+,in_progress
ENR000007,STU00215,CRS00077,Summer,2021,C,in_progress
ENR000008,STU00096,CRS00063,Summer,2024,W,completed
ENR000009,STU00285,CRS00022,Spring,2023,B+,completed
ENR000010,STU00162,CRS00058,Fall,2024,C+,enrolled
ENR000011,STU00249,CRS00018,Spring,2021,D,in_progress
ENR000012,STU00210,CRS00063,Summer,2023,C-,in_progress
ENR000013,STU00086,CRS00011,Fall,2024,B,withdrawn
ENR000014,STU00017,CRS00036,Summer,2021,B-,completed
ENR000015,STU00235,CRS00073,Summer,2023,D,enrolled
ENR000016,STU00294,CRS00015,Summer,2022,C+,enrolled
ENR000017,STU00226,CRS00070,Spring,2021,A-,completed
ENR000018,STU00153,CRS00005,Spring,2023,C+,enrolled
ENR000019,STU00225,CRS00016,Fall,2021,I,withdrawn
ENR000020,STU00220,CRS00022,Fall,2024,B,completed
ENR000021,STU00031,CRS00073,Summer,2022,B-,completed
ENR000022,STU00166,CRS00038,Summer,2022,B-,enrolled
ENR000023,STU00070,CRS00053,Spring,2020,W,completed
ENR000024,STU00068,CRS00032,Summer,2021,C+,completed
ENR000025,STU00202,CRS00063,Summer,2021,W,withdrawn
ENR000026,STU00213,CRS00049,Fall,2023,W,enrolled
ENR000027,STU00207,CRS00066,Summer,2022,C+,in_progress
ENR000028,STU00250,CRS00042,Fall,2024,I,enrolled
ENR000029,STU00235,CRS00046,Summer,2020,C,completed
ENR000030,STU00220,CRS00028,Spring,2023,C+,withdrawn
ENR000031,STU00173,CRS00071,Fall,2024,F,in_progress
ENR000032,STU00176,CRS00007,Fall,2020,W,in_progress
ENR000033,STU00009,CRS00016,Spring,2021,C-,enrolled
ENR000034,STU00220,CRS00026,Summer,2021,B-,completed
ENR000035,STU00141,CRS00012,Spring,2022,A-,withdrawn
ENR000036,STU00085,CRS00007,Summer,2023,B-,completed
ENR000037,STU00220,CRS00012,Fall,2020,B,in_progress
ENR000038,STU00040,CRS00017,Fall,2024,D,in_progress
ENR000039,STU00005,CRS00002,Fall,2022,C,completed
ENR000040,STU00245,CRS00010,Spring,2021,A-,enrolled
ENR000041,STU00053,CRS00041,Spring,2022,B+,in_progress
ENR000042,STU00069,CRS00019,Summer,2020,F,enrolled
ENR000043,STU00085,CRS00057,Summer,2022,B,completed
ENR000044,STU00211,CRS00079,Fall,2023,A-,enrolled
ENR000045,STU00072,CRS00016,Summer,2024,C,withdrawn
ENR000046,STU00220,CRS00041,Fall,2021,B-,enrolled
ENR000047,STU00128,CRS00071,Summer,2024,I,withdrawn
ENR000048,STU00014,CRS00039,Summer,2021,F,completed
ENR000049,STU00201,CRS00038,Fall,2020,C-,in_progress
ENR000050,STU00058,CRS00031,Summer,2023,F,enrolled
ENR000051,STU00271,CRS00002,Spring,2022,B+,in_progress
ENR000052,STU00292,CRS00054,Summer,2022,W,completed
ENR000053,STU00242,CRS00010,Summer,2020,A-,enrolled
ENR000054,STU00135,CRS00028,Fall,2020,C,withdrawn
ENR000055,STU00257,CRS00054,Summer,2023,C,enrolled
ENR000056,STU00275,CRS00069,Fall,2024,B-,enrolled
ENR000057,STU00159,CRS00011,Fall,2024,B+,withdrawn
ENR000058,STU00201,CRS00076,Spring,2020,I,in_progress
ENR000059,STU00123,CRS00008,Fall,2021,C,enrolled
ENR000060,STU00233,CRS00079,Fall,2024,B-,completed
ENR000061,STU00062,CRS00002,Summer,2021,A,completed
ENR000062,STU00255,CRS00045,Summer,2024,I,withdrawn
ENR000063,STU00086,CRS00048,Summer,2021,B-,enrolled
ENR000064,STU00016,CRS00043,Spring,2023,D,enrolled
ENR000065,STU00135,CRS00074,Spring,2020,C-,withdrawn
ENR000066,STU00029,CRS00064,Fall,2024,C+,completed
ENR000067,STU00131,CRS00014,Summer,2024,I,enrolled
ENR000068,STU00117,CRS00066,Fall,2020,A,completed
ENR000069,STU00024,CRS00061,Spring,2022,B+,completed
ENR000070,STU00019,CRS00071,Fall,2023,C+,completed
ENR000071,STU00214,CRS00041,Fall,2022,F,withdrawn
ENR000072,STU00062,CRS00065,Fall,2020,B,enrolled
ENR000073,STU00206,CRS00009,Spring,2023,B-,withdrawn
ENR000074,STU00045,CRS00071,Fall,2023,C+,completed
ENR000075,STU00150,CRS00073,Summer,2022,F,completed
ENR000076,STU00238,CRS00048,Spring,2024,B,completed
ENR000077,STU00078,CRS00001,Fall,2023,B,withdrawn
ENR000078,STU00005,CRS00043,Summer,2020,C,withdrawn
ENR000079,STU00054,CRS00027,Fall,2024,C,in_progress
ENR000080,STU00031,CRS00019,Fall,2022,A,completed
ENR000081,STU00267,CRS00053,Spring,2022,I,enrolled
ENR000082,STU00298,CRS00013,Fall,2024,W,in_progress
ENR000083,STU00039,CRS00076,Fall,2024,C,completed
ENR000084,STU00122,CRS00038,Spring,2022,C,withdrawn
ENR000085,STU00163,CRS00058,Fall,2022,A-,completed
ENR000086,STU00070,CRS00075,Fall,2020,A-,completed
ENR000087,STU00231,CRS00060,Spring,2022,A-,withdrawn
ENR000088,STU00107,CRS00058,Spring,2022,B-,enrolled
ENR000089,STU00047,CRS00021,Summer,2022,I,enrolled
ENR000090,STU00111,CRS00042,Fall,2021,I,completed
ENR000091,STU00183,CRS00051,Fall,2024,W,withdrawn
ENR000092,STU00134,CRS00023,Spring,2020,C-,completed
ENR000093,STU00049,CRS00060,Fall,2020,A-,enrolled
ENR000094,STU00032,CRS00029,Fall,2021,C,withdrawn
ENR000095,STU00044,CRS00075,Spring,2024,A-,enrolled
ENR000096,STU00034,CRS00026,Fall,2023,A-,withdrawn
ENR000097,STU00063,CRS00006,Fall,2023,B+,in_progress
ENR000098,STU00203,CRS00064,Spring,2020,W,in_progress
ENR000099,STU00089,CRS00046,Fall,2021,B-,withdrawn
ENR000100,STU00229,CRS00020,Summer,2020,F,completed
ENR000101,STU00152,CRS00064,Summer,2023,C-,enrolled
ENR000102,STU00045,CRS00036,Fall,2023,C,completed
ENR000103,STU00270,CRS00032,Fall,2024,C,withdrawn
ENR000104,STU00246,CRS00070,Spring,2023,F,withdrawn
ENR000105,STU00199,CRS00035,Fall,2021,C+,completed
ENR000106,STU00016,CRS00036,Spring,2020,D,withdrawn
ENR000107,STU00300,CRS00030,Fall,2021,B,completed
ENR000108,STU00137,CRS00069,Fall,2020,F,in_progress
ENR000109,STU00182,CRS00023,Fall,2021,F,withdrawn
ENR000110,STU00184,CRS00076,Summer,2020,I,withdrawn
ENR000111,STU00291,CRS00073,Summer,2021,B,in_progress
ENR000112,STU00278,CRS00040,Spring,2021,A,enrolled
ENR000113,STU00029,CRS00030,Fall,2024,A,in_progress
ENR000114,STU00001,CRS00043,Fall,2024,B+,withdrawn
ENR000115,STU00091,CRS00042,Fall,2020,B+,completed
ENR000116,STU00057,CRS00068,Fall,2022,C+,in_progress
ENR000117,STU00052,CRS00044,Spring,2022,B+,completed
ENR000118,STU00224,CRS00063,Fall,2022,I,withdrawn
ENR000119,STU00115,CRS00076,Spring,2021,B-,withdrawn
ENR000120,STU00066,CRS00023,Summer,2020,F,in_progress
ENR000121,STU00291,CRS00005,Summer,2021,C+,completed
ENR000122,STU00290,CRS00014,Fall,2023,C+,enrolled
ENR000123,STU00122,CRS00045,Fall,2022,W,enrolled
ENR000124,STU00172,CRS00058,Spring,2020,B,completed
ENR000125,STU00035,CRS00045,Fall,2022,I,enrolled
ENR000126,STU00025,CRS00050,Summer,2023,C,completed
ENR000127,STU00212,CRS00064,Spring,2023,D,in_progress
ENR000128,STU00052,CRS00062,Summer,2024,W,completed
ENR000129,STU00084,CRS00058,Fall,2020,B-,enrolled
ENR000130,STU00164,CRS00034,Fall,2020,C+,completed
ENR000131,STU00193,CRS00021,Summer,2020,A-,withdrawn
ENR000132,STU00248,CRS00004,Summer,2023,B+,in_progress
ENR000133,STU00081,CRS00007,Spring,2020,B,completed
ENR000134,STU00210,CRS00071,Spring,2024,W,withdrawn
ENR000135,STU00153,CRS00031,Fall,2020,C,in_progress
ENR000136,STU00079,CRS00007,Fall,2022,C,enrolled
ENR000137,STU00151,CRS00077,Fall,2023,A-,enrolled
ENR000138,STU00106,CRS00022,Fall,2022,C-,enrolled
ENR000139,STU00158,CRS00051,Spring,2023,W,withdrawn
ENR000140,STU00047,CRS00070,Fall,2023,C+,in_progress
ENR000141,STU00190,CRS00024,Fall,2023,B-,in_progress
ENR000142,STU00239,CRS00034,Spring,2021,F,enrolled
ENR000143,STU00078,CRS00013,Summer,2020,C+,in_progress
ENR000144,STU00117,CRS00071,Spring,2020,D,in_progress
ENR000145,STU00275,CRS00061,Fall,2024,C-,withdrawn
ENR000146,STU00041,CRS00051,Summer,2020,F,completed
ENR000147,STU00062,CRS00058,Fall,2021,B,completed
ENR000148,STU00065,CRS00006,Fall,2023,W,in_progress
ENR000149,STU00104,CRS00019,Spring,2024,C+,enrolled
ENR000150,STU00045,CRS00050,Spring,2024,D,withdrawn
ENR000151,STU00142,CRS00067,Fall,2023,I,in_progress
ENR000152,STU00058,CRS00054,Fall,2021,F,enrolled
ENR000153,STU00055,CRS00073,Spring,2020,D,withdrawn
ENR000154,STU00211,CRS00034,Summer,2023,C-,in_progress
ENR000155,STU00020,CRS00023,Spring,2022,B+,in_progress
ENR000156,STU00020,CRS00051,Summer,2022,B,enrolled
ENR000157,STU00244,CRS00035,Fall,2022,C+,withdrawn
ENR000158,STU00160,CRS00036,Summer,2023,W,enrolled
ENR000159,STU00117,CRS00018,Summer,2022,C-,withdrawn
ENR000160,STU00138,CRS00054,Summer,2024,A-,completed
ENR000161,STU00227,CRS00028,Summer,2023,C-,withdrawn
ENR000162,STU00029,CRS00066,Fall,2021,B-,in_progress
ENR000163,STU00070,CRS00068,Fall,2024,B+,completed
ENR000164,STU00103,CRS00008,Fall,2021,C-,enrolled
ENR000165,STU00185,CRS00026,Spring,2022,C-,in_progress
ENR000166,STU00064,CRS00004,Spring,2021,C-,in_progress
ENR000167,STU00091,CRS00061,Summer,2024,C+,withdrawn
ENR000168,STU00084,CRS00034,Spring,2020,A,in_progress
ENR000169,STU00026,CRS00021,Fall,2024,B,completed
ENR000170,STU00106,CRS00035,Summer,2023,A,enrolled
ENR000171,STU00243,CRS00017,Summer,2021,A,completed
ENR000172,STU00130,CRS00078,Summer,2022,I,withdrawn
