publication_id,project_id,title,journal,publication_date,doi,citation_count
PUB00001,PRJ00002,Findings from Research in Computational Biol...,Psychological Science,2025-12-22,10.1234/uni.00001,213
PUB00002,PRJ00011,Findings from Research in Computational Biol...,PLOS ONE,2023-02-04,10.1234/uni.00002,98
PUB00003,PRJ00033,Findings from Research in Literary Theory - ...,Chemical Reviews,2022-02-21,10.1234/uni.00003,462
PUB00004,PRJ00002,Findings from Research in Computational Biol...,Journal of the ACM,2024-06-28,10.1234/uni.00004,463
PUB00005,PRJ00011,Findings from Research in Computational Biol...,American Economic Review,2019-08-02,10.1234/uni.00005,122
PUB00006,PRJ00020,Findings from Research in Social Psychology ...,Physical Review Letters,2021-12-13,10.1234/uni.00006,221
PUB00007,PRJ00022,Findings from Research in Climate Science - ...,PLOS ONE,2019-06-15,10.1234/uni.00007,383
PUB00008,PRJ00030,Findings from Research in Machine Learning -...,Journal of the ACM,2019-11-25,10.1234/uni.00008,282
PUB00009,PRJ00003,Findings from Research in Quantum Computing ...,Psychological Science,2020-06-19,10.1234/uni.00009,5
PUB00010,PRJ00037,Findings from Research in Ancient History - ...,PLOS ONE,2019-03-20,10.1234/uni.00010,194
PUB00011,PRJ00013,Findings from Research in Machine Learning -...,IEEE Transactions,2024-04-09,10.1234/uni.00011,198
PUB00012,PRJ00003,Findings from Research in Quantum Computing ...,The Lancet,2022-01-12,10.1234/uni.00012,192
PUB00013,PRJ00022,Findings from Research in Climate Science - ...,Chemical Reviews,2023-02-11,10.1234/uni.00013,437
PUB00014,PRJ00028,Findings from Research in Macroeconomics - M...,The Lancet,2023-07-26,10.1234/uni.00014,175
PUB00015,PRJ00009,Findings from Research in Quantum Computing ...,The Lancet,2022-11-19,10.1234/uni.00015,133
PUB00016,PRJ00036,Findings from Research in Macroeconomics - C...,Physical Review Letters,2021-03-01,10.1234/uni.00016,144
PUB00017,PRJ00018,Findings from Research in Materials Science ...,Physical Review Letters,2019-12-08,10.1234/uni.00017,470
PUB00018,PRJ00006,Findings from Research in Literary Theory - ...,Chemical Reviews,2022-07-29,10.1234/uni.00018,458
PUB00019,PRJ00008,Findings from Research in Machine Learning -...,Cell,2019-04-05,10.1234/uni.00019,412
PUB00020,PRJ00007,Findings from Research in Materials Science ...,Science,2021-09-22,10.1234/uni.00020,90
PUB00021,PRJ00024,Findings from Research in Macroeconomics - P...,Cell,2019-09-24,10.1234/uni.00021,292
PUB00022,PRJ00016,Findings from Research in Signal Processing ...,Science,2019-12-24,10.1234/uni.00022,4
PUB00023,PRJ00001,Findings from Research in Organic Chemistry ...,Psychological Science,2022-10-29,10.1234/uni.00023,36
PUB00024,PRJ00010,Findings from Research in Climate Science - ...,American Economic Review,2025-07-14,10.1234/uni.00024,494
PUB00025,PRJ00030,Findings from Research in Machine Learning -...,American Economic Review,2022-09-17,10.1234/uni.00025,54
PUB00026,PRJ00040,Findings from Research in Computational Biol...,Nature,2020-05-14,10.1234/uni.00026,360
PUB00027,PRJ00009,Findings from Research in Quantum Computing ...,The Lancet,2021-03-28,10.1234/uni.00027,474
PUB00028,PRJ00006,Findings from Research in Literary Theory - ...,Science,2021-01-30,10.1234/uni.00028,367
PUB00029,PRJ00006,Findings from Research in Literary Theory - ...,IEEE Transactions,2019-01-16,10.1234/uni.00029,405
PUB00030,PRJ00015,Findings from Research in Signal Processing ...,Nature,2021-05-11,10.1234/uni.00030,367
PUB00031,PRJ00006,Findings from Research in Literary Theory - ...,Journal of the ACM,2023-05-04,10.1234/uni.00031,320
PUB00032,PRJ00034,Findings from Research in Literary Theory - ...,Physical Review Letters,2021-02-28,10.1234/uni.00032,418
PUB00033,PRJ00013,Findings from Research in Machine Learning -...,Psychological Science,2024-07-21,10.1234/uni.00033,361
PUB00034,PRJ00012,Findings from Research in Materials Science ...,PLOS ONE,2024-04-05,10.1234/uni.00034,374
PUB00035,PRJ00038,Findings from Research in Computational Biol...,Physical Review Letters,2019-09-08,10.1234/uni.00035,94
PUB00036,PRJ00033,Findings from Research in Literary Theory - ...,Science,2019-01-26,10.1234/uni.00036,90
PUB00037,PRJ00013,Findings from Research in Machine Learning -...,Cell,2021-12-14,10.1234/uni.00037,449
PUB00038,PRJ00035,Findings from Research in Signal Processing ...,PNAS,2025-06-14,10.1234/uni.00038,358
PUB00039,PRJ00008,Findings from Research in Machine Learning -...,PNAS,2019-11-07,10.1234/uni.00039,95
PUB00040,PRJ00021,Findings from Research in Materials Science ...,Cell,2021-07-21,10.1234/uni.00040,202
PUB00041,PRJ00038,Findings from Research in Computational Biol...,Psychological Science,2022-04-30,10.1234/uni.00041,211
PUB00042,PRJ00033,Findings from Research in Literary Theory - ...,PNAS,2022-03-15,10.1234/uni.00042,218
PUB00043,PRJ00017,Findings from Research in Quantum Computing ...,The Lancet,2022-11-13,10.1234/uni.00043,123
PUB00044,PRJ00034,Findings from Research in Literary Theory - ...,American Economic Review,2019-01-29,10.1234/uni.00044,455
PUB00045,PRJ00017,Findings from Research in Quantum Computing ...,Cell,2022-02-26,10.1234/uni.00045,33
PUB00046,PRJ00004,Findings from Research in Social Psychology ...,Physical Review Letters,2019-09-15,10.1234/uni.00046,176
PUB00047,PRJ00004,Findings from Research in Social Psychology ...,IEEE Transactions,2025-12-13,10.1234/uni.00047,40
PUB00048,PRJ00029,Findings from Research in Ancient History - ...,The Lancet,2019-02-19,10.1234/uni.00048,345
PUB00049,PRJ00006,Findings from Research in Literary Theory - ...,Psychological Science,2022-07-28,10.1234/uni.00049,394
PUB00050,PRJ00024,Findings from Research in Macroeconomics - P...,American Economic Review,2025-10-16,10.1234/uni.00050,491
PUB00051,PRJ00005,Findings from Research in Materials Science ...,PLOS ONE,2025-05-20,10.1234/uni.00051,372
PUB00052,PRJ00021,Findings from Research in Materials Science ...,Journal of the ACM,2024-01-21,10.1234/uni.00052,380
PUB00053,PRJ00031,Findings from Research in Climate Science - ...,Physical Review Letters,2023-02-26,10.1234/uni.00053,153
PUB00054,PRJ00032,Findings from Research in Macroeconomics - E...,Chemical Reviews,2022-07-07,10.1234/uni.00054,381
PUB00055,PRJ00013,Findings from Research in Machine Learning -...,Psychological Science,2021-07-23,10.1234/uni.00055,87
PUB00056,PRJ00003,Findings from Research in Quantum Computing ...,IEEE Transactions,2022-12-16,10.1234/uni.00056,238
PUB00057,PRJ00030,Findings from Research in Machine Learning -...,IEEE Transactions,2022-08-21,10.1234/uni.00057,237
PUB00058,PRJ00030,Findings from Research in Machine Learning -...,Cell,2024-01-27,10.1234/uni.00058,72
