2026-04-05T20:45:43+0200 | INFO     | ontobricks | logging.setup:120 | Logging configured — level=DEBUG, console=stdout, file=/Users/benoit.cayla/git-dbx/OntoBricks/docs/sphinx/logs/ontobricks.log
2026-04-05T20:45:47+0200 | INFO     | ontobricks | logging.setup:120 | Logging configured — level=DEBUG, console=stdout, file=/Users/benoit.cayla/git-dbx/OntoBricks/docs/sphinx/logs/ontobricks.log
2026-04-05T20:48:06+0200 | INFO     | ontobricks | logging.setup:120 | Logging configured — level=DEBUG, console=stdout, file=/Users/benoit.cayla/git-dbx/OntoBricks/docs/sphinx/logs/ontobricks.log
2026-04-05T20:48:35+0200 | INFO     | ontobricks | logging.setup:120 | Logging configured — level=DEBUG, console=stdout, file=/Users/benoit.cayla/git-dbx/OntoBricks/docs/sphinx/logs/ontobricks.log
2026-04-05T20:48:53+0200 | INFO     | ontobricks | logging.setup:120 | Logging configured — level=DEBUG, console=stdout, file=/Users/benoit.cayla/git-dbx/OntoBricks/docs/sphinx/logs/ontobricks.log
2026-04-05T20:48:56+0200 | INFO     | ontobricks | logging.setup:120 | Logging configured — level=DEBUG, console=stdout, file=/Users/benoit.cayla/git-dbx/OntoBricks/docs/sphinx/logs/ontobricks.log
2026-04-05T20:49:02+0200 | INFO     | ontobricks | logging.setup:120 | Logging configured — level=DEBUG, console=stdout, file=/Users/benoit.cayla/git-dbx/OntoBricks/docs/sphinx/logs/ontobricks.log
2026-04-05T20:49:55+0200 | INFO     | ontobricks | logging.setup:120 | Logging configured — level=DEBUG, console=stdout, file=/Users/benoit.cayla/git-dbx/OntoBricks/docs/sphinx/logs/ontobricks.log
2026-04-05T22:24:40+0200 | INFO     | ontobricks | logging.setup:120 | Logging configured — level=DEBUG, console=stdout, file=/Users/benoit.cayla/git-dbx/OntoBricks/docs/sphinx/logs/ontobricks.log
2026-04-05T22:25:34+0200 | INFO     | ontobricks | logging.setup:120 | Logging configured — level=DEBUG, console=stdout, file=/Users/benoit.cayla/git-dbx/OntoBricks/docs/sphinx/logs/ontobricks.log
2026-04-05T22:25:49+0200 | INFO     | ontobricks | logging.setup:120 | Logging configured — level=DEBUG, console=stdout, file=/Users/benoit.cayla/git-dbx/OntoBricks/docs/sphinx/logs/ontobricks.log
2026-04-05T22:26:14+0200 | INFO     | ontobricks | logging.setup:120 | Logging configured — level=DEBUG, console=stdout, file=/Users/benoit.cayla/git-dbx/OntoBricks/docs/sphinx/logs/ontobricks.log
